Model,Dataset,Accuracy,Precision,Recall,F1_Score,MCC,TP,FN,FP,TN,Parsed_Count,Total_Count
CodeLlama-13b-Instruct-hf,all_datasets,0.4950,0.5119,0.7409,0.6055,-0.0393,815,285,777,226,2103,20622
CodeLlama-13b-Instruct-hf,test_cassandra,0.4959,0.4601,0.7888,0.5812,0.0596,127,34,149,53,363,3297
CodeLlama-13b-Instruct-hf,test_cayenne,0.6343,0.7307,0.7994,0.7635,-0.0362,255,64,94,19,432,4399
CodeLlama-13b-Instruct-hf,test_dbeaver,0.4585,0.4059,0.7906,0.5364,0.0363,151,40,221,70,482,4246
CodeLlama-13b-Instruct-hf,test_dubbo,0.5735,0.6173,0.7812,0.6897,0.0396,100,28,62,21,211,2459
CodeLlama-13b-Instruct-hf,test_easyexcel,0.4444,0.4615,0.6667,0.5455,-0.1240,6,3,7,2,18,277
CodeLlama-13b-Instruct-hf,test_jedis,0.5286,0.5000,0.7576,0.6024,0.0905,25,8,25,12,70,852
CodeLlama-13b-Instruct-hf,test_jsoup,0.4286,0.4000,0.6667,0.5000,-0.0913,4,2,6,2,14,171
CodeLlama-13b-Instruct-hf,test_mockito,0.4648,0.5111,0.5897,0.5476,-0.1010,23,16,22,10,71,925
CodeLlama-13b-Instruct-hf,test_pig,0.4730,0.4529,0.7624,0.5683,-0.0073,77,24,93,28,222,2197
CodeLlama-13b-Instruct-hf,test_stirling,0.5714,0.5714,1.0000,0.7273,0.0000,4,0,3,0,7,114
CodeLlama-13b-Instruct-hf,test_struts,0.5644,0.5942,0.8454,0.6979,-0.0043,82,15,56,10,163,1685
Qwen2.5-Coder-14B-Instruct,all_datasets,0.5272,0.5314,0.8848,0.6640,0.0179,9582,1248,8448,1228,20506,20622
Qwen2.5-Coder-14B-Instruct_dora_all_merge,all_datasets,0.7391,0.7608,0.7371,0.7488,0.4778,8014,2858,2520,7222,20614,20622
Qwen2.5-Coder-14B-Instruct_dora_all_merge,test_cassandra,0.8069,0.8081,0.7612,0.7840,0.6105,1154,362,274,1503,3293,3297
Qwen2.5-Coder-14B-Instruct_dora_all_merge,test_cayenne,0.7526,0.8162,0.8433,0.8295,0.3795,2647,492,596,662,4397,4399
Qwen2.5-Coder-14B-Instruct_dora_all_merge,test_dbeaver,0.6576,0.5797,0.4836,0.5273,0.2649,811,866,588,1981,4246,4246
Qwen2.5-Coder-14B-Instruct_dora_all_merge,test_dubbo,0.7414,0.7741,0.7697,0.7719,0.4733,1076,322,314,747,2459,2459
Qwen2.5-Coder-14B-Instruct_dora_all_merge,test_easyexcel,0.6101,0.6474,0.7044,0.6747,0.1914,112,47,61,57,277,277
Qwen2.5-Coder-14B-Instruct_dora_all_merge,test_jedis,0.7617,0.7667,0.7650,0.7659,0.5233,332,102,101,317,852,852
Qwen2.5-Coder-14B-Instruct_dora_all_merge,test_jsoup,0.6316,0.4468,0.3621,0.4000,0.1400,21,37,26,87,171,171
Qwen2.5-Coder-14B-Instruct_dora_all_merge,test_mockito,0.5784,0.6403,0.6727,0.6561,0.1125,372,181,209,163,925,925
Qwen2.5-Coder-14B-Instruct_dora_all_merge,test_pig,0.8256,0.8235,0.7418,0.7805,0.6389,681,237,146,1132,2196,2197
Qwen2.5-Coder-14B-Instruct_dora_all_merge,test_stirling,0.5965,0.5333,0.3333,0.4103,0.1359,16,32,14,52,114,114
Qwen2.5-Coder-14B-Instruct_dora_all_merge,test_struts,0.7300,0.7429,0.8126,0.7762,0.4404,789,182,273,441,1685,1685
Qwen2.5-Coder-14B-Instruct_lora_all_merge,all_datasets,0.7604,0.7857,0.7503,0.7676,0.5213,8159,2715,2225,7521,20620,20622
Qwen2.5-Coder-14B-Instruct_lora_all_merge,test_cassandra,0.8335,0.8433,0.7838,0.8124,0.6645,1189,328,221,1559,3297,3297
Qwen2.5-Coder-14B-Instruct_lora_all_merge,test_cayenne,0.7613,0.8276,0.8408,0.8341,0.4089,2640,500,550,709,4399,4399
Qwen2.5-Coder-14B-Instruct_lora_all_merge,test_dbeaver,0.6922,0.6306,0.5325,0.5774,0.3410,893,784,523,2046,4246,4246
Qwen2.5-Coder-14B-Instruct_lora_all_merge,test_dubbo,0.7636,0.7937,0.7897,0.7917,0.5185,1104,294,287,773,2458,2459
Qwen2.5-Coder-14B-Instruct_lora_all_merge,test_easyexcel,0.6101,0.6545,0.6792,0.6667,0.1977,108,51,57,61,277,277
Qwen2.5-Coder-14B-Instruct_lora_all_merge,test_jedis,0.7840,0.7803,0.8018,0.7909,0.5679,348,86,98,320,852,852
