Instance ID,LLM4ACSD,Expert1,Expert2,Expert3,Expert4,Expert5
001,Non-actionable,NACS,NACS,NACS,NACS,NACS
002,Actionable,NACS,NACS,ACS,NACS,NACS
003,Non-actionable,NACS,NACS,NACS,NACS,NACS
004,Actionable,NACS,NACS,NACS,NACS,ACS
005,Non-actionable,NACS,NACS,NACS,NACS,NACS
006,Actionable,NACS,NACS,NACS,NACS,ACS
007,Actionable,ACS,ACS,ACS,ACS,ACS
008,Actionable,ACS,ACS,ACS,ACS,ACS
009,Non-actionable,NACS,NACS,NACS,NACS,NACS
010,Actionable,ACS,ACS,ACS,ACS,ACS
011,Non-actionable,NACS,NACS,NACS,NACS,NACS
012,Actionable,NACS,NACS,NACS,ACS,NACS
013,Actionable,ACS,ACS,ACS,ACS,ACS
014,Non-actionable,NACS,NACS,NACS,NACS,NACS
015,Non-actionable,NACS,NACS,NACS,NACS,NACS
016,Non-actionable,NACS,NACS,NACS,NACS,NACS
017,Actionable,ACS,ACS,ACS,ACS,ACS
018,Actionable,NACS,NACS,NACS,ACS,NACS
019,Actionable,NACS,NACS,NACS,ACS,NACS
020,Non-actionable,NACS,NACS,NACS,NACS,NACS
021,Actionable,NACS,NACS,ACS,NACS,NACS
022,Non-actionable,NACS,NACS,NACS,NACS,NACS
023,Non-actionable,NACS,NACS,NACS,NACS,NACS
024,Non-actionable,NACS,NACS,NACS,NACS,NACS
025,Actionable,ACS,ACS,ACS,ACS,ACS
026,Actionable,ACS,ACS,ACS,ACS,ACS
027,Non-actionable,NACS,NACS,NACS,NACS,NACS
028,Actionable,ACS,ACS,ACS,ACS,ACS
029,Non-actionable,NACS,NACS,NACS,NACS,NACS
030,Non-actionable,NACS,NACS,NACS,NACS,NACS
031,Actionable,ACS,ACS,ACS,ACS,ACS
032,Non-actionable,NACS,NACS,NACS,NACS,NACS
033,Non-actionable,NACS,NACS,NACS,NACS,NACS
034,Non-actionable,NACS,NACS,NACS,NACS,NACS
035,Non-actionable,ACS,ACS,ACS,ACS,ACS
036,Actionable,ACS,ACS,ACS,ACS,ACS
037,Non-actionable,NACS,NACS,NACS,NACS,NACS
038,Actionable,NACS,NACS,NACS,ACS,NACS
039,Actionable,ACS,ACS,ACS,ACS,ACS
040,Non-actionable,ACS,ACS,ACS,ACS,ACS
041,Actionable,NACS,NACS,NACS,ACS,NACS
042,Actionable,NACS,NACS,ACS,NACS,NACS
043,Non-actionable,NACS,NACS,NACS,NACS,NACS
044,Actionable,ACS,ACS,ACS,ACS,ACS
045,Non-actionable,NACS,NACS,NACS,NACS,NACS
046,Non-actionable,NACS,NACS,NACS,NACS,NACS
047,Actionable,ACS,ACS,ACS,ACS,ACS
048,Non-actionable,NACS,NACS,NACS,NACS,NACS
049,Actionable,NACS,NACS,ACS,NACS,NACS
050,Actionable,ACS,ACS,ACS,ACS,ACS
051,Actionable,ACS,ACS,ACS,ACS,ACS
052,Non-actionable,NACS,NACS,NACS,NACS,NACS
053,Actionable,ACS,ACS,ACS,ACS,ACS
054,Non-actionable,NACS,NACS,NACS,NACS,NACS
055,Non-actionable,NACS,NACS,NACS,NACS,NACS
056,Actionable,ACS,ACS,ACS,ACS,ACS
057,Non-actionable,NACS,NACS,NACS,NACS,NACS
058,Actionable,NACS,NACS,ACS,NACS,NACS
059,Actionable,ACS,ACS,ACS,ACS,ACS
060,Non-actionable,NACS,NACS,NACS,NACS,NACS
061,Actionable,ACS,ACS,ACS,ACS,ACS
062,Non-actionable,NACS,NACS,NACS,NACS,NACS
063,Actionable,ACS,ACS,ACS,ACS,ACS
064,Actionable,ACS,NACS,ACS,NACS,NACS
065,Actionable,NACS,NACS,NACS,ACS,NACS
066,Actionable,NACS,NACS,ACS,NACS,NACS
067,Actionable,NACS,NACS,NACS,NACS,ACS
068,Actionable,NACS,NACS,NACS,ACS,NACS
069,Non-actionable,NACS,NACS,NACS,NACS,NACS
070,Actionable,ACS,ACS,ACS,ACS,ACS
071,Actionable,NACS,NACS,NACS,ACS,NACS
072,Actionable,ACS,ACS,ACS,ACS,ACS
073,Non-actionable,NACS,NACS,NACS,NACS,NACS
074,Non-actionable,NACS,NACS,NACS,NACS,NACS
075,Non-actionable,ACS,ACS,ACS,ACS,ACS
076,Actionable,ACS,ACS,ACS,ACS,ACS
077,Actionable,ACS,ACS,ACS,ACS,ACS
078,Non-actionable,NACS,NACS,NACS,NACS,NACS
079,Non-actionable,NACS,NACS,NACS,NACS,NACS
080,Non-actionable,NACS,NACS,NACS,NACS,NACS
081,Actionable,ACS,ACS,ACS,ACS,ACS
082,Actionable,ACS,ACS,ACS,ACS,ACS
083,Non-actionable,NACS,NACS,NACS,NACS,NACS
084,Non-actionable,NACS,NACS,NACS,NACS,NACS
085,Actionable,NACS,NACS,ACS,NACS,NACS
086,Actionable,ACS,ACS,ACS,ACS,ACS
087,Non-actionable,NACS,NACS,NACS,NACS,NACS
088,Actionable,ACS,ACS,ACS,ACS,ACS
089,Actionable,ACS,ACS,ACS,ACS,ACS
090,Actionable,NACS,NACS,NACS,ACS,NACS
091,Non-actionable,NACS,NACS,NACS,NACS,NACS
092,Actionable,ACS,ACS,ACS,ACS,ACS
093,Actionable,ACS,ACS,ACS,ACS,ACS
094,Actionable,ACS,ACS,ACS,ACS,ACS
095,Actionable,ACS,ACS,ACS,ACS,ACS
096,Actionable,NACS,NACS,NACS,ACS,NACS
097,Actionable,ACS,ACS,ACS,ACS,ACS
098,Actionable,ACS,ACS,ACS,ACS,ACS
099,Actionable,ACS,ACS,ACS,ACS,ACS
100,Non-actionable,NACS,NACS,NACS,NACS,NACS
101,Non-actionable,NACS,ACS,NACS,NACS,ACS
102,Actionable,ACS,ACS,ACS,ACS,ACS
103,Non-actionable,NACS,NACS,NACS,NACS,NACS
104,Non-actionable,NACS,NACS,NACS,NACS,NACS
105,Non-actionable,NACS,NACS,NACS,NACS,NACS
106,Actionable,ACS,ACS,ACS,ACS,ACS
107,Non-actionable,NACS,NACS,NACS,NACS,NACS
108,Non-actionable,ACS,ACS,NACS,NACS,ACS
109,Non-actionable,NACS,NACS,NACS,NACS,NACS
110,Actionable,ACS,ACS,ACS,ACS,ACS
111,Actionable,ACS,NACS,NACS,NACS,NACS
112,Non-actionable,NACS,NACS,NACS,NACS,NACS
113,Actionable,NACS,NACS,NACS,NACS,ACS
114,Non-actionable,NACS,ACS,NACS,NACS,ACS
115,Non-actionable,NACS,NACS,NACS,NACS,NACS
116,Non-actionable,NACS,NACS,NACS,NACS,NACS
117,Non-actionable,NACS,NACS,NACS,NACS,NACS
118,Non-actionable,NACS,NACS,NACS,NACS,NACS
119,Actionable,ACS,ACS,ACS,ACS,ACS
120,Non-actionable,NACS,NACS,NACS,NACS,NACS
121,Actionable,ACS,ACS,ACS,ACS,ACS
122,Actionable,ACS,NACS,NACS,NACS,NACS
123,Non-actionable,ACS,ACS,ACS,ACS,ACS
124,Actionable,ACS,ACS,ACS,ACS,ACS
125,Non-actionable,NACS,NACS,NACS,NACS,NACS
126,Non-actionable,NACS,NACS,NACS,NACS,NACS
127,Actionable,ACS,ACS,ACS,ACS,ACS
128,Non-actionable,NACS,NACS,NACS,NACS,NACS
129,Non-actionable,NACS,NACS,NACS,NACS,NACS
130,Actionable,ACS,ACS,ACS,ACS,ACS
131,Non-actionable,NACS,ACS,NACS,ACS,ACS
132,Actionable,NACS,NACS,NACS,NACS,ACS
133,Actionable,ACS,ACS,ACS,ACS,ACS
134,Actionable,ACS,ACS,ACS,ACS,ACS
135,Non-actionable,NACS,NACS,NACS,NACS,NACS
136,Non-actionable,NACS,NACS,NACS,NACS,NACS
137,Actionable,ACS,ACS,ACS,ACS,ACS
138,Non-actionable,NACS,NACS,NACS,NACS,NACS
139,Non-actionable,NACS,NACS,NACS,NACS,NACS
140,Non-actionable,NACS,NACS,NACS,NACS,NACS
141,Actionable,ACS,ACS,ACS,ACS,ACS
