Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
cassandra,5.0.0,utils,RandomSource,,God Class,"pmd,experts","Ambiguous: Type 'RandomSource' found in 2 locations, none in package 'utils'. Paths: test/simulator/main/org/apache/cassandra/simulator/RandomSource.java; test/unit/accord/utils/RandomSource.java","Ambiguous: Type 'RandomSource' found in 2 locations, none in package 'utils'. Paths: test/simulator/main/org/apache/cassandra/simulator/RandomSource.java; test/unit/accord/utils/RandomSource.java.RandomSource..God Class",5.0.0,5.0.0,5.0.0,1
cassandra,0.3.0-final,org.apache.cassandra.gms,EndPointStateSerializer,serialize,Long Method,"Decor,experts",File Not Found,File Not Found.EndPointStateSerializer.serialize.Long Method,0.3.0-final,0.6.0,0.7.0,7
cassandra,0.3.0-final,org.apache.cassandra.gms,EndPointStatesSerializationHelper,serialize,Long Method,"Decor,experts",File Not Found,File Not Found.EndPointStatesSerializationHelper.serialize.Long Method,0.3.0-final,0.6.0,0.7.0,7
cassandra,0.3.0-final,org.apache.cassandra.gms,GossipDigestAckVerbHandler,doVerb,Long Method,"Decor,experts",File Not Found,File Not Found.GossipDigestAckVerbHandler.doVerb.Long Method,0.3.0-final,0.5.0,0.6.0-beta1,5
cassandra,0.3.0-final,org.apache.cassandra.gms,GossipDigestSerializationHelper,serialize,Long Method,"Decor,experts",File Not Found,File Not Found.GossipDigestSerializationHelper.serialize.Long Method,0.3.0-final,0.5.0,0.6.0-beta1,5
cassandra,0.3.0-final,org.apache.cassandra.gms,GossipDigestSynVerbHandler,doVerb,Long Method,"Decor,experts",File Not Found,File Not Found.GossipDigestSynVerbHandler.doVerb.Long Method,0.3.0-final,0.5.0,0.6.0-beta1,5
cassandra,0.5.0-beta1,org.apache.cassandra.net,HeaderSerializer,deserialize,Long Method,"Decor,experts",File Not Found,File Not Found.HeaderSerializer.deserialize.Long Method,0.5.0-beta1,0.5.0-beta1,0.5.0,1
cassandra,1.1.0-beta1,org.apache.cassandra.db,RangeSliceCommandSerializer,deserialize,Long Method,"Decor,experts",File Not Found,File Not Found.RangeSliceCommandSerializer.deserialize.Long Method,1.1.0-beta1,2.2.0,3.0.0-alpha1,10
cassandra,1.2.0-beta1,org.apache.cassandra.db,RangeSliceCommandSerializer,serializedSize,Long Method,"Decor,experts",File Not Found,File Not Found.RangeSliceCommandSerializer.serializedSize.Long Method,1.2.0-beta1,2.1.0,2.2.0-beta1,6
cassandra,1.2.0-beta1,org.apache.cassandra.service,RangeTransfer,run,Long Method,"Decor,experts",File Not Found,File Not Found.RangeTransfer.run.Long Method,1.2.0-beta1,2.0.0,2.1.0-deb,4
cassandra,2.0.0-beta1,org.apache.cassandra.db,ReadCommandSerializer,serialize,Long Method,"Decor,experts",File Not Found,File Not Found.ReadCommandSerializer.serialize.Long Method,2.0.0-beta1,2.0.0,2.1.0-deb,2
cassandra,0.3.0-final,org.apache.cassandra.db,ReadResponseSerializer,deserialize,Long Method,"Decor,experts",File Not Found,File Not Found.ReadResponseSerializer.deserialize.Long Method,0.3.0-final,0.3.0-final,0.4.0-final,1
cassandra,2.1.0-deb,org.apache.cassandra.tools,RepairRunner,handleNotification,Long Method,"Decor,experts",File Not Found,File Not Found.RepairRunner.handleNotification.Long Method,2.1.0-deb,2.1.0,2.2.0-beta1,2
cassandra,2.0.0-beta1,org.apache.cassandra.db,SliceByNamesReadCommandSerializer,deserialize,Long Method,"Decor,experts",File Not Found,File Not Found.SliceByNamesReadCommandSerializer.deserialize.Long Method,2.0.0-beta1,2.0.0,2.1.0-deb,2
cassandra,0.5.0-beta1,org.apache.cassandra.db,SliceCommandSerializer,deserialize,Long Method,"Decor,experts",File Not Found,File Not Found.SliceCommandSerializer.deserialize.Long Method,0.5.0-beta1,0.5.0,0.6.0-beta1,2
cassandra,2.0.0-beta1,org.apache.cassandra.db,SliceFromReadCommandSerializer,deserialize,Long Method,"Decor,experts",File Not Found,File Not Found.SliceFromReadCommandSerializer.deserialize.Long Method,2.0.0-beta1,2.0.0,2.1.0-deb,2
cassandra,0.3.0-final,org.apache.cassandra.db,SuperColumnSerializer,deserialize,Long Method,"Decor,experts",File Not Found,File Not Found.SuperColumnSerializer.deserialize.Long Method,0.3.0-final,0.3.0-final,0.4.0-final,1
cassandra,0.4.0-final,org.apache.cassandra.bulkloader,CassandraBulkLoader,createMessage,Feature Envy,"checkstyle,experts",contrib/bmt_example/CassandraBulkLoader.java,contrib/bmt_example/CassandraBulkLoader.java.CassandraBulkLoader.createMessage.Feature Envy,0.4.0-final,0.7.6-2,0.8.0-beta1,8
cassandra,0.7.6-2,org.apache.cassandra.bulkloader,Reduce,reduce,Feature Envy,"checkstyle,experts",contrib/bmt_example/CassandraBulkLoader.java,contrib/bmt_example/CassandraBulkLoader.java.Reduce.reduce.Feature Envy,0.7.6-2,0.7.6-2,0.8.0-beta1,1
