Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
dbeaver,23.3.0,org.jkiss.awt.injector,BrowsePeerProxy,,God Class,"pmd,experts",apps/awt.injector.lib/src/main/java/org/jkiss/awt/injector/BrowsePeerProxy.java,apps/awt.injector.lib/src/main/java/org/jkiss/awt/injector/BrowsePeerProxy.java.BrowsePeerProxy..God Class,23.3.0,23.3.0,24.0.0,1
dbeaver,23.3.0,org.jkiss.utils,AlphanumericComparator,compare,Complex Method,"pmd,checkstyle,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/AlphanumericComparator.java,bundles/org.jkiss.utils/src/org/jkiss/utils/AlphanumericComparator.java.AlphanumericComparator.compare.Complex Method,23.3.0,23.3.0,24.0.0,1
dbeaver,23.3.0,org.jkiss.utils,AlphanumericComparator,compare,Long Method,"Decor,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/AlphanumericComparator.java,bundles/org.jkiss.utils/src/org/jkiss/utils/AlphanumericComparator.java.AlphanumericComparator.compare.Long Method,23.3.0,23.3.0,24.0.0,1
dbeaver,4.3.0,org.jkiss.utils,ArgumentTokenizer,_escapeQuotesAndBackslashes,Complex Method,"designitejava,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/ArgumentTokenizer.java,bundles/org.jkiss.utils/src/org/jkiss/utils/ArgumentTokenizer.java.ArgumentTokenizer._escapeQuotesAndBackslashes.Complex Method,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,ArgumentTokenizer,tokenize,Complex Method,"designitejava,pmd,checkstyle,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/ArgumentTokenizer.java,bundles/org.jkiss.utils/src/org/jkiss/utils/ArgumentTokenizer.java.ArgumentTokenizer.tokenize.Complex Method,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,ArrayUtils,,God Class,"pmd,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/ArrayUtils.java,bundles/org.jkiss.utils/src/org/jkiss/utils/ArrayUtils.java.ArrayUtils..God Class,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,Base64,,God Class,"pmd,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/Base64.java,bundles/org.jkiss.utils/src/org/jkiss/utils/Base64.java.Base64..God Class,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,Base64,encode,Long Method,"Decor,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/Base64.java,bundles/org.jkiss.utils/src/org/jkiss/utils/Base64.java.Base64.encode.Long Method,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,BeanUtils,,God Class,"pmd,checkstyle,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java,bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java.BeanUtils..God Class,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,BeanUtils,getCollectionType,Complex Method,"pmd,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java,bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java.BeanUtils.getCollectionType.Complex Method,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,BeanUtils,getDefaultPrimitiveValue,Complex Method,"designitejava,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java,bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java.BeanUtils.getDefaultPrimitiveValue.Complex Method,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,BeanUtils,getDefaultPrimitiveValue,Long Method,"Decor,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java,bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java.BeanUtils.getDefaultPrimitiveValue.Long Method,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,BeanUtils,getGetMethod,Complex Method,"designitejava,checkstyle,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java,bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java.BeanUtils.getGetMethod.Complex Method,4.3.0,23.3.0,24.0.0,25
dbeaver,21.1.0,org.jkiss.utils,BeanUtils,invokeObjectDeclaredMethod,Complex Method,"pmd,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java,bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java.BeanUtils.invokeObjectDeclaredMethod.Complex Method,21.1.0,22.0.0,22.1.0,4
dbeaver,22.2.0,org.jkiss.utils,ByteNumberFormat,getBytes,Long Method,"Decor,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/ByteNumberFormat.java,bundles/org.jkiss.utils/src/org/jkiss/utils/ByteNumberFormat.java.ByteNumberFormat.getBytes.Long Method,22.2.0,23.3.0,24.0.0,6
dbeaver,4.3.0,org.jkiss.utils,CommonUtils,,God Class,"pmd,checkstyle,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/CommonUtils.java,bundles/org.jkiss.utils/src/org/jkiss/utils/CommonUtils.java.CommonUtils..God Class,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,CommonUtils,escapeFileName,Complex Method,"checkstyle,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/CommonUtils.java,bundles/org.jkiss.utils/src/org/jkiss/utils/CommonUtils.java.CommonUtils.escapeFileName.Complex Method,4.3.0,23.3.0,24.0.0,25
dbeaver,7.2.0,org.jkiss.utils,CommonUtils,escapeJavaString,Long Method,"Decor,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/CommonUtils.java,bundles/org.jkiss.utils/src/org/jkiss/utils/CommonUtils.java.CommonUtils.escapeJavaString.Long Method,7.2.0,22.1.0,22.2.0,8
dbeaver,4.3.0,org.jkiss.utils,IOUtils,,God Class,"pmd,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/IOUtils.java,bundles/org.jkiss.utils/src/org/jkiss/utils/IOUtils.java.IOUtils..God Class,4.3.0,23.3.0,24.0.0,25
dbeaver,22.3.0,org.jkiss.utils,IOUtils,checkAndExtractEntry,Long Method,"Decor,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/IOUtils.java,bundles/org.jkiss.utils/src/org/jkiss/utils/IOUtils.java.IOUtils.checkAndExtractEntry.Long Method,22.3.0,23.3.0,24.0.0,5
dbeaver,4.3.0,org.jkiss.utils,IntKeyMap,,God Class,"pmd,checkstyle,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/IntKeyMap.java,bundles/org.jkiss.utils/src/org/jkiss/utils/IntKeyMap.java.IntKeyMap..God Class,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,IntKeyMap,removeMapping,Long Method,"Decor,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/IntKeyMap.java,bundles/org.jkiss.utils/src/org/jkiss/utils/IntKeyMap.java.IntKeyMap.removeMapping.Long Method,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,LongKeyMap,,God Class,"pmd,checkstyle,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/LongKeyMap.java,bundles/org.jkiss.utils/src/org/jkiss/utils/LongKeyMap.java.LongKeyMap..God Class,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,LongKeyMap,removeMapping,Long Method,"Decor,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/LongKeyMap.java,bundles/org.jkiss.utils/src/org/jkiss/utils/LongKeyMap.java.LongKeyMap.removeMapping.Long Method,4.3.0,23.3.0,24.0.0,25
dbeaver,7.2.0,org.jkiss.utils,MimeType,parse,Long Method,"Decor,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/MimeType.java,bundles/org.jkiss.utils/src/org/jkiss/utils/MimeType.java.MimeType.parse.Long Method,7.2.0,22.1.0,22.2.0,8
dbeaver,4.3.0,org.jkiss.utils,SecurityUtils,generateGUID,Long Method,"Decor,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/SecurityUtils.java,bundles/org.jkiss.utils/src/org/jkiss/utils/SecurityUtils.java.SecurityUtils.generateGUID.Long Method,4.3.0,23.3.0,24.0.0,25
dbeaver,21.3.0,org.jkiss.utils.csv,CSVParser,,God Class,"pmd,checkstyle,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVParser.java,bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVParser.java.CSVParser..God Class,21.3.0,23.3.0,24.0.0,9
dbeaver,21.3.0,org.jkiss.utils.csv,CSVParser,CSVParser,Long Parameter List,"designitejava,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVParser.java,bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVParser.java.CSVParser.CSVParser.Long Parameter List,21.3.0,23.3.0,24.0.0,9
dbeaver,21.3.0,org.jkiss.utils.csv,CSVParser,parseLine,Complex Method,"designitejava,pmd,checkstyle,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVParser.java,bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVParser.java.CSVParser.parseLine.Complex Method,21.3.0,23.3.0,24.0.0,9
dbeaver,21.3.0,org.jkiss.utils.csv,CSVReader,CSVReader,Long Parameter List,"designitejava,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVReader.java,bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVReader.java.CSVReader.CSVReader.Long Parameter List,21.3.0,23.3.0,24.0.0,9
dbeaver,21.3.0,org.jkiss.utils.csv,CSVWriter,,God Class,"pmd,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVWriter.java,bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVWriter.java.CSVWriter..God Class,21.3.0,23.3.0,24.0.0,9
dbeaver,21.3.0,org.jkiss.utils.csv,CSVWriter,CSVWriter,Long Parameter List,"designitejava,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVWriter.java,bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVWriter.java.CSVWriter.CSVWriter.Long Parameter List,21.3.0,23.3.0,24.0.0,9
dbeaver,21.3.0,org.jkiss.utils.csv,CSVWriter,writeNext,Complex Method,"designitejava,pmd,checkstyle,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVWriter.java,bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVWriter.java.CSVWriter.writeNext.Complex Method,21.3.0,23.3.0,24.0.0,9
dbeaver,21.3.0,org.jkiss.utils.csv,CSVWriter,writeNext,Long Method,"Decor,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVWriter.java,bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVWriter.java.CSVWriter.writeNext.Long Method,21.3.0,23.3.0,24.0.0,9
dbeaver,23.2.0,org.jkiss.utils.rest,ClientInvocationHandler,invoke,Complex Method,"checkstyle,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/rest/RestClient.java,bundles/org.jkiss.utils/src/org/jkiss/utils/rest/RestClient.java.ClientInvocationHandler.invoke.Complex Method,23.2.0,23.3.0,24.0.0,2
dbeaver,23.2.0,org.jkiss.utils.rest,RestClient,handleError,Long Method,"Decor,experts",bundles/org.jkiss.utils/src/org/jkiss/utils/rest/RestClient.java,bundles/org.jkiss.utils/src/org/jkiss/utils/rest/RestClient.java.RestClient.handleError.Long Method,23.2.0,23.3.0,24.0.0,2
