Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
dubbo,2.3.0,未知包,$__ClassNameTestDubboStub,,God Class,"pmd,experts",File Not Found,File Not Found.$__ClassNameTestDubboStub..God Class,2.3.0,2.7.0,3.0.0,5
dubbo,2.3.0,com.alibaba.dubbo.rpc.gen.dubbo,$__DemoStub,,God Class,"pmd,experts",File Not Found,File Not Found.$__DemoStub..God Class,2.3.0,2.7.0,3.0.0,5
dubbo,2.7.0,org.apache.dubbo.demo.api,md,,Feature Envy,"checkstyle,experts",README.md,README.md.md..Feature Envy,2.7.0,3.2.0,3.3.0-beta.1,5
dubbo,3.0.0,org.apache.dubbo.gen,AbstractGenerator,buildMethodContext,Complex Method,"checkstyle,experts",compiler/src/main/java/org/apache/dubbo/gen/AbstractGenerator.java,compiler/src/main/java/org/apache/dubbo/gen/AbstractGenerator.java.AbstractGenerator.buildMethodContext.Complex Method,3.0.0,3.0.0,3.1.0,1
dubbo,3.0.0,org.apache.dubbo.gen,AbstractGenerator,buildMethodContext,Long Method,"Decor,experts",compiler/src/main/java/org/apache/dubbo/gen/AbstractGenerator.java,compiler/src/main/java/org/apache/dubbo/gen/AbstractGenerator.java.AbstractGenerator.buildMethodContext.Long Method,3.0.0,3.0.0,3.1.0,1
dubbo,2.4.0,com.alibaba.dubbo.governance.service,ConsumerService,,God Class,"pmd,experts",dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/ConsumerService.java,dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/ConsumerService.java.ConsumerService..God Class,2.4.0,2.6.0,2.7.0,3
dubbo,2.4.0,com.alibaba.dubbo.governance.service,OverrideService,,God Class,"pmd,experts",dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/OverrideService.java,dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/OverrideService.java.OverrideService..God Class,2.4.0,2.6.0,2.7.0,3
dubbo,2.4.0,com.alibaba.dubbo.governance.service,ProviderService,,God Class,"pmd,experts",dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/ProviderService.java,dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/ProviderService.java.ProviderService..God Class,2.4.0,2.6.0,2.7.0,3
dubbo,2.4.0,com.alibaba.dubbo.governance.service,RouteService,,God Class,"pmd,experts",dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/RouteService.java,dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/RouteService.java.RouteService..God Class,2.4.0,2.6.0,2.7.0,3
dubbo,2.4.0,com.alibaba.dubbo.governance.service,UserService,,God Class,"pmd,experts",dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/UserService.java,dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/UserService.java.UserService..God Class,2.4.0,2.6.0,2.7.0,3
