Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
easyexcel,3.1.0,com.alibaba.excel,EasyExcelFactory,,God Class,"pmd,experts",easyexcel-core/src/main/java/com/alibaba/excel/EasyExcelFactory.java,easyexcel-core/src/main/java/com/alibaba/excel/EasyExcelFactory.java.EasyExcelFactory..God Class,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel,EasyExcelFactory,read,Feature Envy,"checkstyle,experts",easyexcel-core/src/main/java/com/alibaba/excel/EasyExcelFactory.java,easyexcel-core/src/main/java/com/alibaba/excel/EasyExcelFactory.java.EasyExcelFactory.read.Feature Envy,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel,ExcelWriter,,God Class,"pmd,experts",easyexcel-core/src/main/java/com/alibaba/excel/ExcelWriter.java,easyexcel-core/src/main/java/com/alibaba/excel/ExcelWriter.java.ExcelWriter..God Class,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.analysis,ExcelAnalyserImpl,choiceExcelExecutor,Feature Envy,"checkstyle,experts",easyexcel-core/src/main/java/com/alibaba/excel/analysis/ExcelAnalyserImpl.java,easyexcel-core/src/main/java/com/alibaba/excel/analysis/ExcelAnalyserImpl.java.ExcelAnalyserImpl.choiceExcelExecutor.Feature Envy,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.analysis,ExcelAnalyserImpl,finish,Complex Method,"designitejava,pmd,checkstyle,experts",easyexcel-core/src/main/java/com/alibaba/excel/analysis/ExcelAnalyserImpl.java,easyexcel-core/src/main/java/com/alibaba/excel/analysis/ExcelAnalyserImpl.java.ExcelAnalyserImpl.finish.Complex Method,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.analysis,ExcelAnalyserImpl,finish,Feature Envy,"checkstyle,experts",easyexcel-core/src/main/java/com/alibaba/excel/analysis/ExcelAnalyserImpl.java,easyexcel-core/src/main/java/com/alibaba/excel/analysis/ExcelAnalyserImpl.java.ExcelAnalyserImpl.finish.Feature Envy,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.analysis.csv,CsvExcelReadExecutor,csvParser,Feature Envy,"checkstyle,experts",easyexcel-core/src/main/java/com/alibaba/excel/analysis/csv/CsvExcelReadExecutor.java,easyexcel-core/src/main/java/com/alibaba/excel/analysis/csv/CsvExcelReadExecutor.java.CsvExcelReadExecutor.csvParser.Feature Envy,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.analysis.csv,CsvExcelReadExecutor,dealRecord,Long Method,"Decor,experts",easyexcel-core/src/main/java/com/alibaba/excel/analysis/csv/CsvExcelReadExecutor.java,easyexcel-core/src/main/java/com/alibaba/excel/analysis/csv/CsvExcelReadExecutor.java.CsvExcelReadExecutor.dealRecord.Long Method,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.analysis.v03,XlsSaxAnalyser,execute,Feature Envy,"checkstyle,experts",easyexcel-core/src/main/java/com/alibaba/excel/analysis/v03/XlsSaxAnalyser.java,easyexcel-core/src/main/java/com/alibaba/excel/analysis/v03/XlsSaxAnalyser.java.XlsSaxAnalyser.execute.Feature Envy,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.analysis.v03,XlsSaxAnalyser,execute,Long Method,"Decor,experts",easyexcel-core/src/main/java/com/alibaba/excel/analysis/v03/XlsSaxAnalyser.java,easyexcel-core/src/main/java/com/alibaba/excel/analysis/v03/XlsSaxAnalyser.java.XlsSaxAnalyser.execute.Long Method,3.1.0,3.3.0,4.0.0,3
