Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
jedis,5.0.0-beta1,io.redis.examples,Bicycle,Bicycle,Long Parameter List,"designitejava,experts",File Not Found,File Not Found.Bicycle.Bicycle.Long Parameter List,5.0.0-beta1,5.3.0-beta1,5.3.0-beta1,7
jedis,2.10.0-m1,redis.clients.jedis,AdvancedBinaryJedisCommands,,God Class,"pmd,experts",src/main/java/redis/clients/jedis/AdvancedBinaryJedisCommands.java,src/main/java/redis/clients/jedis/AdvancedBinaryJedisCommands.java.AdvancedBinaryJedisCommands..God Class,2.10.0-m1,2.10.0,3.0.0-m1,2
jedis,2.10.0-m1,redis.clients.jedis,AdvancedBinaryJedisCommands,migrate,Long Parameter List,"designitejava,experts",src/main/java/redis/clients/jedis/AdvancedBinaryJedisCommands.java,src/main/java/redis/clients/jedis/AdvancedBinaryJedisCommands.java.AdvancedBinaryJedisCommands.migrate.Long Parameter List,2.10.0-m1,2.10.0,3.0.0-m1,2
jedis,2.10.0-m1,redis.clients.jedis,AdvancedJedisCommands,,God Class,"pmd,experts",src/main/java/redis/clients/jedis/AdvancedJedisCommands.java,src/main/java/redis/clients/jedis/AdvancedJedisCommands.java.AdvancedJedisCommands..God Class,2.10.0-m1,2.10.0,3.0.0-m1,2
jedis,2.10.0-m1,redis.clients.jedis,AdvancedJedisCommands,migrate,Long Parameter List,"designitejava,experts",src/main/java/redis/clients/jedis/AdvancedJedisCommands.java,src/main/java/redis/clients/jedis/AdvancedJedisCommands.java.AdvancedJedisCommands.migrate.Long Parameter List,2.10.0-m1,2.10.0,3.0.0-m1,2
jedis,2.2.0,redis.clients.jedis,BasicCommands,,God Class,"pmd,experts",src/main/java/redis/clients/jedis/BasicCommands.java,src/main/java/redis/clients/jedis/BasicCommands.java.BasicCommands..God Class,2.2.0,2.10.0,3.0.0-m1,10
jedis,2.2.0,redis.clients.jedis,BasicRedisPipeline,,God Class,"pmd,experts",src/main/java/redis/clients/jedis/BasicRedisPipeline.java,src/main/java/redis/clients/jedis/BasicRedisPipeline.java.BasicRedisPipeline..God Class,2.2.0,2.10.0,3.0.0-m1,10
jedis,2.10.0-m1,redis.clients.jedis,BasicRedisPipeline,migrate,Long Parameter List,"designitejava,experts",src/main/java/redis/clients/jedis/BasicRedisPipeline.java,src/main/java/redis/clients/jedis/BasicRedisPipeline.java.BasicRedisPipeline.migrate.Long Parameter List,2.10.0-m1,2.10.0,3.0.0-m1,2
jedis,1.4.0,redis.clients.jedis,BinaryClient,,God Class,"pmd,checkstyle,experts",src/main/java/redis/clients/jedis/BinaryClient.java,src/main/java/redis/clients/jedis/BinaryClient.java.BinaryClient..God Class,1.4.0,3.10.0,4.0.0-beta1,31
jedis,2.9.0,redis.clients.jedis,BinaryClient,BinaryClient,Long Parameter List,"designitejava,experts",src/main/java/redis/clients/jedis/BinaryClient.java,src/main/java/redis/clients/jedis/BinaryClient.java.BinaryClient.BinaryClient.Long Parameter List,2.9.0,3.10.0,4.0.0-beta1,19
