Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
jsoup,1.3.1,org.jsoup,Connection,,God Class,"pmd,experts",src/main/java/org/jsoup/Connection.java,src/main/java/org/jsoup/Connection.java.Connection..God Class,1.3.1,1.19.1,1.19.1,21
jsoup,0.1.1,org.jsoup,DataUtil,load,Long Method,"Decor,experts",src/main/java/org/jsoup/DataUtil.java,src/main/java/org/jsoup/DataUtil.java.DataUtil.load.Long Method,0.1.1,1.2.1,1.3.1,7
jsoup,1.3.1,org.jsoup,Jsoup,,God Class,"pmd,experts",src/main/java/org/jsoup/Jsoup.java,src/main/java/org/jsoup/Jsoup.java.Jsoup..God Class,1.3.1,1.19.1,1.19.1,21
jsoup,1.7.1,org.jsoup.examples,HtmlToPlainText,append,Complex Method,"pmd,experts",src/main/java/org/jsoup/examples/HtmlToPlainText.java,src/main/java/org/jsoup/examples/HtmlToPlainText.java.HtmlToPlainText.append.Complex Method,1.7.1,1.19.1,1.19.1,17
jsoup,1.19.1,org.jsoup.examples,HtmlToPlainText,trimParents,Feature Envy,"checkstyle,experts",src/main/java/org/jsoup/examples/HtmlToPlainText.java,src/main/java/org/jsoup/examples/HtmlToPlainText.java.HtmlToPlainText.trimParents.Feature Envy,1.19.1,1.19.1,1.19.1,1
jsoup,0.2.1a,org.jsoup.examples,ListLinks,main,Feature Envy,"checkstyle,experts",src/main/java/org/jsoup/examples/ListLinks.java,src/main/java/org/jsoup/examples/ListLinks.java.ListLinks.main.Feature Envy,0.2.1a,1.19.1,1.19.1,27
jsoup,0.2.1a,org.jsoup.examples,ListLinks,main,Long Method,"Decor,experts",src/main/java/org/jsoup/examples/ListLinks.java,src/main/java/org/jsoup/examples/ListLinks.java.ListLinks.main.Long Method,0.2.1a,1.19.1,1.19.1,27
jsoup,1.11.1,org.jsoup.helper,ChangeNotifyingArrayList,,God Class,"pmd,experts",src/main/java/org/jsoup/helper/ChangeNotifyingArrayList.java,src/main/java/org/jsoup/helper/ChangeNotifyingArrayList.java.ChangeNotifyingArrayList..God Class,1.11.1,1.19.1,1.19.1,9
jsoup,1.14.1,org.jsoup.helper,CookieUtil,applyCookiesToRequest,Long Method,"Decor,experts",src/main/java/org/jsoup/helper/CookieUtil.java,src/main/java/org/jsoup/helper/CookieUtil.java.CookieUtil.applyCookiesToRequest.Long Method,1.14.1,1.19.1,1.19.1,6
jsoup,1.8.2,org.jsoup.helper,DataUtil,,God Class,"pmd,experts",src/main/java/org/jsoup/helper/DataUtil.java,src/main/java/org/jsoup/helper/DataUtil.java.DataUtil..God Class,1.8.2,1.19.1,1.19.1,15
jsoup,1.18.1,org.jsoup.helper,DataUtil,detectCharset,Complex Method,"designitejava,pmd,checkstyle,experts",src/main/java/org/jsoup/helper/DataUtil.java,src/main/java/org/jsoup/helper/DataUtil.java.DataUtil.detectCharset.Complex Method,1.18.1,1.19.1,1.19.1,2
jsoup,1.10.1,org.jsoup.helper,DataUtil,detectCharsetFromBom,Complex Method,"checkstyle,experts",src/main/java/org/jsoup/helper/DataUtil.java,src/main/java/org/jsoup/helper/DataUtil.java.DataUtil.detectCharsetFromBom.Complex Method,1.10.1,1.19.1,1.19.1,10
jsoup,1.19.1,org.jsoup.helper,DataUtil,detectCharsetFromBom,Feature Envy,"checkstyle,experts",src/main/java/org/jsoup/helper/DataUtil.java,src/main/java/org/jsoup/helper/DataUtil.java.DataUtil.detectCharsetFromBom.Feature Envy,1.19.1,1.19.1,1.19.1,1
jsoup,1.7.1,org.jsoup.helper,DataUtil,parseByteData,Complex Method,"pmd,experts",src/main/java/org/jsoup/helper/DataUtil.java,src/main/java/org/jsoup/helper/DataUtil.java.DataUtil.parseByteData.Complex Method,1.7.1,1.10.1,1.11.1,8
jsoup,1.8.1.a,org.jsoup.helper,DataUtil,parseByteData,Feature Envy,"checkstyle,experts",src/main/java/org/jsoup/helper/DataUtil.java,src/main/java/org/jsoup/helper/DataUtil.java.DataUtil.parseByteData.Feature Envy,1.8.1.a,1.9.1,1.10.1,6
jsoup,1.3.1,org.jsoup.helper,DataUtil,parseByteData,Long Method,"Decor,experts",src/main/java/org/jsoup/helper/DataUtil.java,src/main/java/org/jsoup/helper/DataUtil.java.DataUtil.parseByteData.Long Method,1.3.1,1.10.1,1.11.1,12
jsoup,1.11.1,org.jsoup.helper,DataUtil,parseInputStream,Complex Method,"designitejava,pmd,checkstyle,experts",src/main/java/org/jsoup/helper/DataUtil.java,src/main/java/org/jsoup/helper/DataUtil.java.DataUtil.parseInputStream.Complex Method,1.11.1,1.17.1,1.18.1,7
jsoup,1.11.1,org.jsoup.helper,Base,looksLikeUtf8,Complex Method,"checkstyle,experts",src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java.Base.looksLikeUtf8.Complex Method,1.11.1,1.16.1,1.17.1,6
jsoup,1.3.1,org.jsoup.helper,HttpConnection,,God Class,"pmd,experts",src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java.HttpConnection..God Class,1.3.1,1.19.1,1.19.1,21
jsoup,1.5.1,org.jsoup.helper,HttpConnection,execute,Complex Method,"pmd,experts",src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java.HttpConnection.execute.Complex Method,1.5.1,1.19.1,1.19.1,19
jsoup,1.11.1,org.jsoup.helper,HttpConnection,looksLikeUtf8,Complex Method,"pmd,experts",src/main/java/org/jsoup/helper/HttpConnection.java,src/main/java/org/jsoup/helper/HttpConnection.java.HttpConnection.looksLikeUtf8.Complex Method,1.11.1,1.19.1,1.19.1,9
