Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
mockito,1.10.0,mockito.mockito-1.10.0.test.org.mockitousage.basicapi,MockingDetailsTest,,God Class,"pmd,experts","Ambiguous: Type 'MockingDetailsTest' found in 2 locations, none in package 'mockito.mockito-1.10.0.test.org.mockitousage.basicapi'. Paths: test/org/mockitousage/basicapi/MockingDetailsTest.java; test/org/mockito/MockingDetailsTest.java","Ambiguous: Type 'MockingDetailsTest' found in 2 locations, none in package 'mockito.mockito-1.10.0.test.org.mockitousage.basicapi'. Paths: test/org/mockitousage/basicapi/MockingDetailsTest.java; test/org/mockito/MockingDetailsTest.java.MockingDetailsTest..God Class",1.10.0,1.10.0,1.10.1-dev,1
mockito,1.10.1-dev,mockito.mockito-1.10.1-dev.test.org.mockitousage.basicapi,MockingDetailsTest,,God Class,"pmd,experts","Ambiguous: Type 'MockingDetailsTest' found in 2 locations, none in package 'mockito.mockito-1.10.1-dev.test.org.mockitousage.basicapi'. Paths: test/org/mockitousage/basicapi/MockingDetailsTest.java; test/org/mockito/MockingDetailsTest.java","Ambiguous: Type 'MockingDetailsTest' found in 2 locations, none in package 'mockito.mockito-1.10.1-dev.test.org.mockitousage.basicapi'. Paths: test/org/mockitousage/basicapi/MockingDetailsTest.java; test/org/mockito/MockingDetailsTest.java.MockingDetailsTest..God Class",1.10.1-dev,1.10.1-dev,1.10.2,1
mockito,1.10.2,mockito.mockito-1.10.2.test.org.mockitousage.basicapi,MockingDetailsTest,,God Class,"pmd,experts","Ambiguous: Type 'MockingDetailsTest' found in 2 locations, none in package 'mockito.mockito-1.10.2.test.org.mockitousage.basicapi'. Paths: test/org/mockitousage/basicapi/MockingDetailsTest.java; test/org/mockito/MockingDetailsTest.java","Ambiguous: Type 'MockingDetailsTest' found in 2 locations, none in package 'mockito.mockito-1.10.2.test.org.mockitousage.basicapi'. Paths: test/org/mockitousage/basicapi/MockingDetailsTest.java; test/org/mockito/MockingDetailsTest.java.MockingDetailsTest..God Class",1.10.2,1.10.2,1.10.28-dev,1
mockito,1.10.28-dev,mockito.mockito-1.10.28-dev.test.org.mockitousage.basicapi,MockingDetailsTest,,God Class,"pmd,experts","Ambiguous: Type 'MockingDetailsTest' found in 2 locations, none in package 'mockito.mockito-1.10.28-dev.test.org.mockitousage.basicapi'. Paths: test/org/mockitousage/basicapi/MockingDetailsTest.java; test/org/mockito/MockingDetailsTest.java","Ambiguous: Type 'MockingDetailsTest' found in 2 locations, none in package 'mockito.mockito-1.10.28-dev.test.org.mockitousage.basicapi'. Paths: test/org/mockitousage/basicapi/MockingDetailsTest.java; test/org/mockito/MockingDetailsTest.java.MockingDetailsTest..God Class",1.10.28-dev,1.10.28-dev,2.0.0-beta,1
mockito,2.0.0-beta,org.mockito.release.comparison,PublicationsComparatorTask,comparePublications,Long Method,"Decor,experts",buildSrc/src/main/groovy/org/mockito/release/comparison/PublicationsComparatorTask.java,buildSrc/src/main/groovy/org/mockito/release/comparison/PublicationsComparatorTask.java.PublicationsComparatorTask.comparePublications.Long Method,2.0.0-beta,2.2.0,2.3.0,5
mockito,2.0.0-beta,org.mockito.release.comparison,ZipComparator,compareFiles,Long Method,"Decor,experts",buildSrc/src/main/groovy/org/mockito/release/comparison/ZipComparator.java,buildSrc/src/main/groovy/org/mockito/release/comparison/ZipComparator.java.ZipComparator.compareFiles.Long Method,2.0.0-beta,2.2.0,2.3.0,5
mockito,2.0.0-beta,org.mockito.release.comparison,ZipCompare,compareZips,Complex Method,"checkstyle,experts",buildSrc/src/main/groovy/org/mockito/release/comparison/ZipCompare.java,buildSrc/src/main/groovy/org/mockito/release/comparison/ZipCompare.java.ZipCompare.compareZips.Complex Method,2.0.0-beta,2.2.0,2.3.0,5
mockito,2.0.0-beta,main.groovy.org.mockito.release.comparison,ZipCompare,streamsEqual,Complex Method,"pmd,experts",buildSrc/src/main/groovy/org/mockito/release/comparison/ZipCompare.java,buildSrc/src/main/groovy/org/mockito/release/comparison/ZipCompare.java.ZipCompare.streamsEqual.Complex Method,2.0.0-beta,2.2.0,2.3.0,5
mockito,2.1.0-beta.120,org.mockito.release.exec,DefaultProcessRunner,readFully,Long Method,"Decor,experts",buildSrc/src/main/groovy/org/mockito/release/exec/DefaultProcessRunner.java,buildSrc/src/main/groovy/org/mockito/release/exec/DefaultProcessRunner.java.DefaultProcessRunner.readFully.Long Method,2.1.0-beta.120,2.2.0,2.3.0,4
mockito,2.0.0-beta,org.mockito.release.git,DefaultGitAuthor,restoreOriginal,Feature Envy,"checkstyle,experts",buildSrc/src/main/groovy/org/mockito/release/git/DefaultGitAuthor.java,buildSrc/src/main/groovy/org/mockito/release/git/DefaultGitAuthor.java.DefaultGitAuthor.restoreOriginal.Feature Envy,2.0.0-beta,2.2.0,2.3.0,5
