Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
pig,0.11.0-rc0,hadoop20.org.apache.pig.backend.hadoop20,PigJobControl,run,Complex Method,"pmd,experts","Ambiguous: Type 'PigJobControl' found in 2 locations, none in package 'hadoop20.org.apache.pig.backend.hadoop20'. Paths: shims/src/hadoop20/org/apache/pig/backend/hadoop20/PigJobControl.java; shims/src/hadoop23/org/apache/pig/backend/hadoop23/PigJobControl.java","Ambiguous: Type 'PigJobControl' found in 2 locations, none in package 'hadoop20.org.apache.pig.backend.hadoop20'. Paths: shims/src/hadoop20/org/apache/pig/backend/hadoop20/PigJobControl.java; shims/src/hadoop23/org/apache/pig/backend/hadoop23/PigJobControl.java.PigJobControl.run.Complex Method",0.11.0-rc0,0.16.0,0.17.0-rc0,16
pig,0.11.0-rc0,hadoop23.org.apache.pig.backend.hadoop23,PigJobControl,run,Complex Method,"pmd,experts","Ambiguous: Type 'PigJobControl' found in 2 locations, none in package 'hadoop23.org.apache.pig.backend.hadoop23'. Paths: shims/src/hadoop20/org/apache/pig/backend/hadoop20/PigJobControl.java; shims/src/hadoop23/org/apache/pig/backend/hadoop23/PigJobControl.java","Ambiguous: Type 'PigJobControl' found in 2 locations, none in package 'hadoop23.org.apache.pig.backend.hadoop23'. Paths: shims/src/hadoop20/org/apache/pig/backend/hadoop20/PigJobControl.java; shims/src/hadoop23/org/apache/pig/backend/hadoop23/PigJobControl.java.PigJobControl.run.Complex Method",0.11.0-rc0,0.16.0,0.17.0-rc0,16
pig,0.12.0-rc0,pig.pig-release-0.12.0-rc0.test.org.apache.pig.builtin,TestAvroStorage,,God Class,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.12.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.12.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage..God Class",0.12.0-rc0,0.12.0-rc0,0.12.0,1
pig,0.12.0-rc0,pig.pig-release-0.12.0-rc0.test.org.apache.pig.builtin,TestAvroStorage,verifyResults,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.12.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.12.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.verifyResults.Complex Method",0.12.0-rc0,0.12.0-rc0,0.12.0,1
pig,0.12.0,pig.pig-release-0.12.0.test.org.apache.pig.builtin,TestAvroStorage,,God Class,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.12.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.12.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage..God Class",0.12.0,0.12.0,0.12.1-rc0,1
pig,0.12.0,pig.pig-release-0.12.0.test.org.apache.pig.builtin,TestAvroStorage,verifyResults,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.12.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.12.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.verifyResults.Complex Method",0.12.0,0.12.0,0.12.1-rc0,1
pig,0.12.1-rc0,pig.pig-release-0.12.1-rc0.test.org.apache.pig.builtin,TestAvroStorage,,God Class,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.12.1-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.12.1-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage..God Class",0.12.1-rc0,0.12.1-rc0,0.12.1,1
pig,0.12.1-rc0,pig.pig-release-0.12.1-rc0.test.org.apache.pig.builtin,TestAvroStorage,verifyResults,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.12.1-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.12.1-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.verifyResults.Complex Method",0.12.1-rc0,0.12.1-rc0,0.12.1,1
pig,0.12.1,pig.pig-release-0.12.1.test.org.apache.pig.builtin,TestAvroStorage,,God Class,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.12.1.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.12.1.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage..God Class",0.12.1,0.12.1,0.13.0-rc0,1
pig,0.12.1,pig.pig-release-0.12.1.test.org.apache.pig.builtin,TestAvroStorage,verifyResults,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.12.1.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.12.1.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.verifyResults.Complex Method",0.12.1,0.12.1,0.13.0-rc0,1
