Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
stirling,0.30.0,org.apache.pdfbox.examples.signature,TSAClient,getTSAResponse,Long Method,"Decor,experts",src/main/java/org/apache/pdfbox/examples/signature/TSAClient.java,src/main/java/org/apache/pdfbox/examples/signature/TSAClient.java.TSAClient.getTSAResponse.Long Method,0.30.0,0.44.0,0.44.0,15
stirling,0.43.0,stirling.software,KeygenLicenseVerifier,verifyLicense,Long Method,"Decor,experts",src/main/java/stirling/software/SPDF/EE/KeygenLicenseVerifier.java,src/main/java/stirling/software/SPDF/EE/KeygenLicenseVerifier.java.KeygenLicenseVerifier.verifyLicense.Long Method,0.43.0,0.44.0,0.44.0,2
stirling,0.30.0,stirling.software,ReplaceAndInvertColorFactory,replaceAndInvert,Long Parameter List,"designitejava,experts",src/main/java/stirling/software/SPDF/Factories/ReplaceAndInvertColorFactory.java,src/main/java/stirling/software/SPDF/Factories/ReplaceAndInvertColorFactory.java.ReplaceAndInvertColorFactory.replaceAndInvert.Long Parameter List,0.30.0,0.44.0,0.44.0,15
stirling,0.4.0,stirling.software,LibreOfficeListener,start,Complex Method,"pmd,experts",src/main/java/stirling/software/SPDF/LibreOfficeListener.java,src/main/java/stirling/software/SPDF/LibreOfficeListener.java.LibreOfficeListener.start.Complex Method,0.4.0,0.44.0,0.44.0,41
stirling,0.37.0,stirling.software,SPDFApplication,init,Complex Method,"pmd,experts",src/main/java/stirling/software/SPDF/SPDFApplication.java,src/main/java/stirling/software/SPDF/SPDFApplication.java.SPDFApplication.init.Complex Method,0.37.0,0.44.0,0.44.0,8
stirling,0.37.0,stirling.software.SPDF,SPDFApplication,main,Feature Envy,"checkstyle,experts",src/main/java/stirling/software/SPDF/SPDFApplication.java,src/main/java/stirling/software/SPDF/SPDFApplication.java.SPDFApplication.main.Feature Envy,0.37.0,0.44.0,0.44.0,8
stirling,0.37.0,stirling.software,SPDFApplication,main,Long Method,"Decor,experts",src/main/java/stirling/software/SPDF/SPDFApplication.java,src/main/java/stirling/software/SPDF/SPDFApplication.java.SPDFApplication.main.Long Method,0.37.0,0.44.0,0.44.0,8
stirling,0.24.0,stirling.software,SPdfApplication,main,Long Method,"Decor,experts",src/main/java/stirling/software/SPDF/SPdfApplication.java,src/main/java/stirling/software/SPDF/SPdfApplication.java.SPdfApplication.main.Long Method,0.24.0,0.29.0,0.30.0,6
stirling,0.37.0,stirling.software,DesktopBrowser,createProgressHandler,Complex Method,"designitejava,experts",src/main/java/stirling/software/SPDF/UI/impl/DesktopBrowser.java,src/main/java/stirling/software/SPDF/UI/impl/DesktopBrowser.java.DesktopBrowser.createProgressHandler.Complex Method,0.37.0,0.44.0,0.44.0,8
stirling,0.44.0,stirling.software,DesktopBrowser,forceInitializeUI,Long Method,"Decor,experts",src/main/java/stirling/software/SPDF/UI/impl/DesktopBrowser.java,src/main/java/stirling/software/SPDF/UI/impl/DesktopBrowser.java.DesktopBrowser.forceInitializeUI.Long Method,0.44.0,0.44.0,0.44.0,1
stirling,0.37.0,stirling.software,DesktopBrowser,handleProgress,Complex Method,"designitejava,experts",src/main/java/stirling/software/SPDF/UI/impl/DesktopBrowser.java,src/main/java/stirling/software/SPDF/UI/impl/DesktopBrowser.java.DesktopBrowser.handleProgress.Complex Method,0.37.0,0.44.0,0.44.0,8
stirling,0.37.0,stirling.software,DesktopBrowser,onLoadingStateChange,Complex Method,"pmd,experts",src/main/java/stirling/software/SPDF/UI/impl/DesktopBrowser.java,src/main/java/stirling/software/SPDF/UI/impl/DesktopBrowser.java.DesktopBrowser.onLoadingStateChange.Complex Method,0.37.0,0.44.0,0.44.0,8
stirling,0.37.0,stirling.software,DesktopBrowser,setupLoadHandler,Complex Method,"pmd,experts",src/main/java/stirling/software/SPDF/UI/impl/DesktopBrowser.java,src/main/java/stirling/software/SPDF/UI/impl/DesktopBrowser.java.DesktopBrowser.setupLoadHandler.Complex Method,0.37.0,0.44.0,0.44.0,8
