Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
cassandra,0.6.0-beta1,org.apache.cassandra.mutex,ClusterMutex,lockInternal,Complex Method,"designitejava,pmd,checkstyle",contrib/mutex/src/org/apache/cassandra/mutex/ClusterMutex.java,contrib/mutex/src/org/apache/cassandra/mutex/ClusterMutex.java.ClusterMutex.lockInternal.Complex Method,0.6.0-beta1,0.6.0,0.7.0,2
cassandra,0.7.6-2,org.apache.cassandra.hadoop.pig,CassandraStorage,putNext,Complex Method,"designitejava,pmd",contrib/pig/src/java/org/apache/cassandra/hadoop/pig/CassandraStorage.java,contrib/pig/src/java/org/apache/cassandra/hadoop/pig/CassandraStorage.java.CassandraStorage.putNext.Complex Method,0.7.6-2,1.0.0,1.1.0-beta1,5
cassandra,0.7.6-2,org.apache.cassandra.contrib.stress,Session,Session,Complex Method,"designitejava,checkstyle",contrib/stress/src/org/apache/cassandra/contrib/stress/Session.java,contrib/stress/src/org/apache/cassandra/contrib/stress/Session.java.Session.Session.Complex Method,0.7.6-2,0.7.6-2,0.8.0-beta1,1
cassandra,0.7.6-2,org.apache.cassandra.contrib.stress,Stress,main,Complex Method,"designitejava,pmd,checkstyle",contrib/stress/src/org/apache/cassandra/contrib/stress/Stress.java,contrib/stress/src/org/apache/cassandra/contrib/stress/Stress.java.Stress.main.Complex Method,0.7.6-2,0.7.6-2,0.8.0-beta1,1
cassandra,0.7.6-2,org.apache.cassandra.contrib.stress.operations,Inserter,run,Complex Method,"designitejava,checkstyle",contrib/stress/src/org/apache/cassandra/contrib/stress/operations/Inserter.java,contrib/stress/src/org/apache/cassandra/contrib/stress/operations/Inserter.java.Inserter.run.Complex Method,0.7.6-2,0.7.6-2,0.8.0-beta1,1
cassandra,0.7.6-2,org.apache.cassandra.contrib.stress.operations,MultiGetter,run,Complex Method,"designitejava,pmd,checkstyle",contrib/stress/src/org/apache/cassandra/contrib/stress/operations/MultiGetter.java,contrib/stress/src/org/apache/cassandra/contrib/stress/operations/MultiGetter.java.MultiGetter.run.Complex Method,0.7.6-2,0.7.6-2,0.8.0-beta1,1
cassandra,0.7.6-2,org.apache.cassandra.contrib.stress.operations,RangeSlicer,run,Complex Method,"designitejava,pmd,checkstyle",contrib/stress/src/org/apache/cassandra/contrib/stress/operations/RangeSlicer.java,contrib/stress/src/org/apache/cassandra/contrib/stress/operations/RangeSlicer.java.RangeSlicer.run.Complex Method,0.7.6-2,0.7.6-2,0.8.0-beta1,1
cassandra,0.8.0,src.org.apache.cassandra.cql.jdbc,AbstractResultSet,,God Class,"pmd,checkstyle",drivers/java/src/org/apache/cassandra/cql/jdbc/AbstractResultSet.java,drivers/java/src/org/apache/cassandra/cql/jdbc/AbstractResultSet.java.AbstractResultSet..God Class,0.8.0,0.8.0,1.0.0-beta1,1
cassandra,0.8.0-beta1,src.org.apache.cassandra.cql.jdbc,CassandraPreparedStatement,,God Class,"pmd,checkstyle",drivers/java/src/org/apache/cassandra/cql/jdbc/CassandraPreparedStatement.java,drivers/java/src/org/apache/cassandra/cql/jdbc/CassandraPreparedStatement.java.CassandraPreparedStatement..God Class,0.8.0-beta1,0.8.0,1.0.0-beta1,2
cassandra,0.8.0-beta1,src.org.apache.cassandra.cql.jdbc,CassandraPreparedStatement,applyDualBindings,Complex Method,"pmd,checkstyle",drivers/java/src/org/apache/cassandra/cql/jdbc/CassandraPreparedStatement.java,drivers/java/src/org/apache/cassandra/cql/jdbc/CassandraPreparedStatement.java.CassandraPreparedStatement.applyDualBindings.Complex Method,0.8.0-beta1,0.8.0,1.0.0-beta1,2
