Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
dbeaver,23.3.0,org.jkiss.utils,AlphanumericComparator,compare,Complex Method,"pmd,checkstyle",bundles/org.jkiss.utils/src/org/jkiss/utils/AlphanumericComparator.java,bundles/org.jkiss.utils/src/org/jkiss/utils/AlphanumericComparator.java.AlphanumericComparator.compare.Complex Method,23.3.0,23.3.0,24.0.0,1
dbeaver,4.3.0,org.jkiss.utils,ArgumentTokenizer,tokenize,Complex Method,"designitejava,pmd,checkstyle",bundles/org.jkiss.utils/src/org/jkiss/utils/ArgumentTokenizer.java,bundles/org.jkiss.utils/src/org/jkiss/utils/ArgumentTokenizer.java.ArgumentTokenizer.tokenize.Complex Method,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,BeanUtils,,God Class,"pmd,checkstyle",bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java,bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java.BeanUtils..God Class,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,BeanUtils,getGetMethod,Complex Method,"designitejava,checkstyle",bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java,bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java.BeanUtils.getGetMethod.Complex Method,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,CommonUtils,,God Class,"pmd,checkstyle",bundles/org.jkiss.utils/src/org/jkiss/utils/CommonUtils.java,bundles/org.jkiss.utils/src/org/jkiss/utils/CommonUtils.java.CommonUtils..God Class,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,IntKeyMap,,God Class,"pmd,checkstyle",bundles/org.jkiss.utils/src/org/jkiss/utils/IntKeyMap.java,bundles/org.jkiss.utils/src/org/jkiss/utils/IntKeyMap.java.IntKeyMap..God Class,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils,LongKeyMap,,God Class,"pmd,checkstyle",bundles/org.jkiss.utils/src/org/jkiss/utils/LongKeyMap.java,bundles/org.jkiss.utils/src/org/jkiss/utils/LongKeyMap.java.LongKeyMap..God Class,4.3.0,23.3.0,24.0.0,25
dbeaver,21.3.0,org.jkiss.utils.csv,CSVParser,,God Class,"pmd,checkstyle",bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVParser.java,bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVParser.java.CSVParser..God Class,21.3.0,23.3.0,24.0.0,9
dbeaver,21.3.0,org.jkiss.utils.csv,CSVParser,parseLine,Complex Method,"designitejava,pmd,checkstyle",bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVParser.java,bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVParser.java.CSVParser.parseLine.Complex Method,21.3.0,23.3.0,24.0.0,9
dbeaver,21.3.0,org.jkiss.utils.csv,CSVWriter,writeNext,Complex Method,"designitejava,pmd,checkstyle",bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVWriter.java,bundles/org.jkiss.utils/src/org/jkiss/utils/csv/CSVWriter.java.CSVWriter.writeNext.Complex Method,21.3.0,23.3.0,24.0.0,9
dbeaver,4.3.0,org.jkiss.utils.time,ExtendedDateFormat,ExtendedDateFormat,Complex Method,"designitejava,checkstyle",bundles/org.jkiss.utils/src/org/jkiss/utils/time/ExtendedDateFormat.java,bundles/org.jkiss.utils/src/org/jkiss/utils/time/ExtendedDateFormat.java.ExtendedDateFormat.ExtendedDateFormat.Complex Method,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils.time,ExtendedDateFormat,format,Complex Method,"designitejava,pmd",bundles/org.jkiss.utils/src/org/jkiss/utils/time/ExtendedDateFormat.java,bundles/org.jkiss.utils/src/org/jkiss/utils/time/ExtendedDateFormat.java.ExtendedDateFormat.format.Complex Method,4.3.0,23.3.0,24.0.0,25
dbeaver,4.3.0,org.jkiss.utils.time,ExtendedDateFormat,stripNanos,Complex Method,"designitejava,pmd,checkstyle",bundles/org.jkiss.utils/src/org/jkiss/utils/time/ExtendedDateFormat.java,bundles/org.jkiss.utils/src/org/jkiss/utils/time/ExtendedDateFormat.java.ExtendedDateFormat.stripNanos.Complex Method,4.3.0,23.3.0,24.0.0,25
