Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
dubbo,2.4.0,com.alibaba.dubbo.governance.service.impl,OwnerServiceImpl,deleteOwner,Feature Envy,"designitejava,checkstyle",dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/OwnerServiceImpl.java,dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/OwnerServiceImpl.java.OwnerServiceImpl.deleteOwner.Feature Envy,2.4.0,2.6.0,2.7.0,3
dubbo,2.4.0,com.alibaba.dubbo.governance.service.impl,OwnerServiceImpl,saveOwner,Feature Envy,"designitejava,checkstyle",dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/OwnerServiceImpl.java,dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/OwnerServiceImpl.java.OwnerServiceImpl.saveOwner.Feature Envy,2.4.0,2.6.0,2.7.0,3
dubbo,2.4.0,com.alibaba.dubbo.governance.service.impl,ProviderServiceImpl,,God Class,"pmd,checkstyle",dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/ProviderServiceImpl.java,dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/ProviderServiceImpl.java.ProviderServiceImpl..God Class,2.4.0,2.6.0,2.7.0,3
dubbo,2.4.0,com.alibaba.dubbo.governance.service.impl,ProviderServiceImpl,disableProvider,Complex Method,"designitejava,pmd",dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/ProviderServiceImpl.java,dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/ProviderServiceImpl.java.ProviderServiceImpl.disableProvider.Complex Method,2.4.0,2.6.0,2.7.0,3
dubbo,2.4.0,com.alibaba.dubbo.governance.service.impl,ProviderServiceImpl,enableProvider,Complex Method,"designitejava,pmd",dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/ProviderServiceImpl.java,dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/ProviderServiceImpl.java.ProviderServiceImpl.enableProvider.Complex Method,2.4.0,2.6.0,2.7.0,3
dubbo,2.4.0,com.alibaba.dubbo.governance.service.impl,ProviderServiceImpl,setWeight,Complex Method,"designitejava,pmd,checkstyle",dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/ProviderServiceImpl.java,dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/ProviderServiceImpl.java.ProviderServiceImpl.setWeight.Complex Method,2.4.0,2.6.0,2.7.0,3
dubbo,2.4.0,com.alibaba.dubbo.governance.sync,RegistryServerSync,notify,Complex Method,"designitejava,pmd,checkstyle",dubbo-admin/src/main/java/com/alibaba/dubbo/governance/sync/RegistryServerSync.java,dubbo-admin/src/main/java/com/alibaba/dubbo/governance/sync/RegistryServerSync.java.RegistryServerSync.notify.Complex Method,2.4.0,2.6.0,2.7.0,3
dubbo,2.4.0,com.alibaba.dubbo.governance.sync.util,SyncUtils,filterFromUrls,Complex Method,"designitejava,pmd",dubbo-admin/src/main/java/com/alibaba/dubbo/governance/sync/util/SyncUtils.java,dubbo-admin/src/main/java/com/alibaba/dubbo/governance/sync/util/SyncUtils.java.SyncUtils.filterFromUrls.Complex Method,2.4.0,2.6.0,2.7.0,3
dubbo,2.4.0,com.alibaba.dubbo.governance.web.common.interceptor,AuthorizationValve,invoke,Complex Method,"designitejava,pmd,checkstyle",dubbo-admin/src/main/java/com/alibaba/dubbo/governance/web/common/interceptor/AuthorizationValve.java,dubbo-admin/src/main/java/com/alibaba/dubbo/governance/web/common/interceptor/AuthorizationValve.java.AuthorizationValve.invoke.Complex Method,2.4.0,2.6.0,2.7.0,3
dubbo,2.4.0,com.alibaba.dubbo.governance.web.common.interceptor,AuthorizationValve,loginByDigest,Complex Method,"pmd,checkstyle",dubbo-admin/src/main/java/com/alibaba/dubbo/governance/web/common/interceptor/AuthorizationValve.java,dubbo-admin/src/main/java/com/alibaba/dubbo/governance/web/common/interceptor/AuthorizationValve.java.AuthorizationValve.loginByDigest.Complex Method,2.4.0,2.6.0,2.7.0,3
