Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
easyexcel,3.1.0,com.alibaba.excel.analysis,ExcelAnalyserImpl,finish,Complex Method,"designitejava,pmd,checkstyle",easyexcel-core/src/main/java/com/alibaba/excel/analysis/ExcelAnalyserImpl.java,easyexcel-core/src/main/java/com/alibaba/excel/analysis/ExcelAnalyserImpl.java.ExcelAnalyserImpl.finish.Complex Method,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.context,WriteContextImpl,,God Class,"pmd,checkstyle",easyexcel-core/src/main/java/com/alibaba/excel/context/WriteContextImpl.java,easyexcel-core/src/main/java/com/alibaba/excel/context/WriteContextImpl.java.WriteContextImpl..God Class,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.context,WriteContextImpl,finish,Complex Method,"designitejava,pmd,checkstyle",easyexcel-core/src/main/java/com/alibaba/excel/context/WriteContextImpl.java,easyexcel-core/src/main/java/com/alibaba/excel/context/WriteContextImpl.java.WriteContextImpl.finish.Complex Method,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.metadata,AbstractHolder,AbstractHolder,Complex Method,"designitejava,checkstyle",easyexcel-core/src/main/java/com/alibaba/excel/metadata/AbstractHolder.java,easyexcel-core/src/main/java/com/alibaba/excel/metadata/AbstractHolder.java.AbstractHolder.AbstractHolder.Complex Method,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.metadata.csv,CsvSheet,,God Class,"pmd,checkstyle",easyexcel-core/src/main/java/com/alibaba/excel/metadata/csv/CsvSheet.java,easyexcel-core/src/main/java/com/alibaba/excel/metadata/csv/CsvSheet.java.CsvSheet..God Class,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.metadata.csv,CsvSheet,buildCellValue,Complex Method,"designitejava,pmd,checkstyle",easyexcel-core/src/main/java/com/alibaba/excel/metadata/csv/CsvSheet.java,easyexcel-core/src/main/java/com/alibaba/excel/metadata/csv/CsvSheet.java.CsvSheet.buildCellValue.Complex Method,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.metadata.csv,CsvWorkbook,findFont,Long Parameter List,"designitejava,checkstyle",easyexcel-core/src/main/java/com/alibaba/excel/metadata/csv/CsvWorkbook.java,easyexcel-core/src/main/java/com/alibaba/excel/metadata/csv/CsvWorkbook.java.CsvWorkbook.findFont.Long Parameter List,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.metadata.format,DataFormatter,,God Class,"pmd,checkstyle",easyexcel-core/src/main/java/com/alibaba/excel/metadata/format/DataFormatter.java,easyexcel-core/src/main/java/com/alibaba/excel/metadata/format/DataFormatter.java.DataFormatter..God Class,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.metadata.format,DataFormatter,cleanFormatForNumber,Complex Method,"designitejava,pmd,checkstyle",easyexcel-core/src/main/java/com/alibaba/excel/metadata/format/DataFormatter.java,easyexcel-core/src/main/java/com/alibaba/excel/metadata/format/DataFormatter.java.DataFormatter.cleanFormatForNumber.Complex Method,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.metadata.format,DataFormatter,createDateFormat,Complex Method,"designitejava,pmd,checkstyle",easyexcel-core/src/main/java/com/alibaba/excel/metadata/format/DataFormatter.java,easyexcel-core/src/main/java/com/alibaba/excel/metadata/format/DataFormatter.java.DataFormatter.createDateFormat.Complex Method,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.metadata.format,DataFormatter,createFormat,Complex Method,"designitejava,pmd,checkstyle",easyexcel-core/src/main/java/com/alibaba/excel/metadata/format/DataFormatter.java,easyexcel-core/src/main/java/com/alibaba/excel/metadata/format/DataFormatter.java.DataFormatter.createFormat.Complex Method,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.metadata.property,StyleProperty,build,Complex Method,"designitejava,checkstyle",easyexcel-core/src/main/java/com/alibaba/excel/metadata/property/StyleProperty.java,easyexcel-core/src/main/java/com/alibaba/excel/metadata/property/StyleProperty.java.StyleProperty.build.Complex Method,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.read.metadata.holder,AbstractReadHolder,AbstractReadHolder,Complex Method,"designitejava,checkstyle",easyexcel-core/src/main/java/com/alibaba/excel/read/metadata/holder/AbstractReadHolder.java,easyexcel-core/src/main/java/com/alibaba/excel/read/metadata/holder/AbstractReadHolder.java.AbstractReadHolder.AbstractReadHolder.Complex Method,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.read.processor,DefaultAnalysisEventProcessor,buildHead,Complex Method,"designitejava,pmd",easyexcel-core/src/main/java/com/alibaba/excel/read/processor/DefaultAnalysisEventProcessor.java,easyexcel-core/src/main/java/com/alibaba/excel/read/processor/DefaultAnalysisEventProcessor.java.DefaultAnalysisEventProcessor.buildHead.Complex Method,3.1.0,4.0.0,4.0.0,4
easyexcel,3.1.0,com.alibaba.excel.support,ExcelTypeEnum,valueOf,Complex Method,"pmd,checkstyle",easyexcel-core/src/main/java/com/alibaba/excel/support/ExcelTypeEnum.java,easyexcel-core/src/main/java/com/alibaba/excel/support/ExcelTypeEnum.java.ExcelTypeEnum.valueOf.Complex Method,3.1.0,4.0.0,4.0.0,4
easyexcel,3.3.0,com.alibaba.excel.util,ClassUtils,,God Class,"pmd,checkstyle",easyexcel-core/src/main/java/com/alibaba/excel/util/ClassUtils.java,easyexcel-core/src/main/java/com/alibaba/excel/util/ClassUtils.java.ClassUtils..God Class,3.3.0,4.0.0,4.0.0,2
