Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
jedis,1.4.0,redis.clients.jedis,BinaryClient,,God Class,"pmd,checkstyle",src/main/java/redis/clients/jedis/BinaryClient.java,src/main/java/redis/clients/jedis/BinaryClient.java.BinaryClient..God Class,1.4.0,3.10.0,4.0.0-beta1,31
jedis,2.8.0,redis.clients.jedis,BinaryClient,georadius,Long Parameter List,"designitejava,checkstyle",src/main/java/redis/clients/jedis/BinaryClient.java,src/main/java/redis/clients/jedis/BinaryClient.java.BinaryClient.georadius.Long Parameter List,2.8.0,3.10.0,4.0.0-beta1,20
jedis,3.4.0,redis.clients.jedis,BinaryClient,georadiusByMemberStore,Long Parameter List,"designitejava,checkstyle",src/main/java/redis/clients/jedis/BinaryClient.java,src/main/java/redis/clients/jedis/BinaryClient.java.BinaryClient.georadiusByMemberStore.Long Parameter List,3.4.0,3.10.0,4.0.0-beta1,9
jedis,2.10.0-m1,redis.clients.jedis,BinaryClient,georadiusReadonly,Long Parameter List,"designitejava,checkstyle",src/main/java/redis/clients/jedis/BinaryClient.java,src/main/java/redis/clients/jedis/BinaryClient.java.BinaryClient.georadiusReadonly.Long Parameter List,2.10.0-m1,3.10.0,4.0.0-beta1,18
jedis,3.4.0,redis.clients.jedis,BinaryClient,georadiusStore,Long Parameter List,"designitejava,checkstyle",src/main/java/redis/clients/jedis/BinaryClient.java,src/main/java/redis/clients/jedis/BinaryClient.java.BinaryClient.georadiusStore.Long Parameter List,3.4.0,3.10.0,4.0.0-beta1,9
jedis,3.7.0-RC1,redis.clients.jedis,BinaryClient,xautoclaim,Long Parameter List,"designitejava,checkstyle",src/main/java/redis/clients/jedis/BinaryClient.java,src/main/java/redis/clients/jedis/BinaryClient.java.BinaryClient.xautoclaim.Long Parameter List,3.7.0-RC1,3.10.0,4.0.0-beta1,5
jedis,3.7.0-RC1,redis.clients.jedis,BinaryClient,xautoclaimJustId,Long Parameter List,"designitejava,checkstyle",src/main/java/redis/clients/jedis/BinaryClient.java,src/main/java/redis/clients/jedis/BinaryClient.java.BinaryClient.xautoclaimJustId.Long Parameter List,3.7.0-RC1,3.10.0,4.0.0-beta1,5
jedis,3.1.0-m1,redis.clients.jedis,BinaryClient,xclaim,Long Parameter List,"designitejava,checkstyle",src/main/java/redis/clients/jedis/BinaryClient.java,src/main/java/redis/clients/jedis/BinaryClient.java.BinaryClient.xclaim.Long Parameter List,3.1.0-m1,3.10.0,4.0.0-beta1,14
jedis,3.6.0-rc1,redis.clients.jedis,BinaryClient,xclaimJustId,Long Parameter List,"designitejava,checkstyle",src/main/java/redis/clients/jedis/BinaryClient.java,src/main/java/redis/clients/jedis/BinaryClient.java.BinaryClient.xclaimJustId.Long Parameter List,3.6.0-rc1,3.10.0,4.0.0-beta1,7
jedis,3.1.0-m1,redis.clients.jedis,BinaryClient,xpending,Long Parameter List,"designitejava,checkstyle",src/main/java/redis/clients/jedis/BinaryClient.java,src/main/java/redis/clients/jedis/BinaryClient.java.BinaryClient.xpending.Long Parameter List,3.1.0-m1,3.10.0,4.0.0-beta1,14
jedis,3.1.0-m1,redis.clients.jedis,BinaryClient,xreadGroup,Long Parameter List,"designitejava,checkstyle",src/main/java/redis/clients/jedis/BinaryClient.java,src/main/java/redis/clients/jedis/BinaryClient.java.BinaryClient.xreadGroup.Long Parameter List,3.1.0-m1,3.10.0,4.0.0-beta1,14
jedis,1.4.0,redis.clients.jedis,BinaryJedis,,God Class,"pmd,checkstyle",src/main/java/redis/clients/jedis/BinaryJedis.java,src/main/java/redis/clients/jedis/BinaryJedis.java.BinaryJedis..God Class,1.4.0,3.10.0,4.0.0-beta1,31
jedis,2.8.0,redis.clients.jedis,BinaryJedis,georadius,Long Parameter List,"designitejava,checkstyle",src/main/java/redis/clients/jedis/BinaryJedis.java,src/main/java/redis/clients/jedis/BinaryJedis.java.BinaryJedis.georadius.Long Parameter List,2.8.0,3.10.0,4.0.0-beta1,20
jedis,3.4.0,redis.clients.jedis,BinaryJedis,georadiusByMemberStore,Long Parameter List,"designitejava,checkstyle",src/main/java/redis/clients/jedis/BinaryJedis.java,src/main/java/redis/clients/jedis/BinaryJedis.java.BinaryJedis.georadiusByMemberStore.Long Parameter List,3.4.0,3.10.0,4.0.0-beta1,9
jedis,2.10.0-m1,redis.clients.jedis,BinaryJedis,georadiusReadonly,Long Parameter List,"designitejava,checkstyle",src/main/java/redis/clients/jedis/BinaryJedis.java,src/main/java/redis/clients/jedis/BinaryJedis.java.BinaryJedis.georadiusReadonly.Long Parameter List,2.10.0-m1,3.10.0,4.0.0-beta1,18
jedis,3.4.0,redis.clients.jedis,BinaryJedis,georadiusStore,Long Parameter List,"designitejava,checkstyle",src/main/java/redis/clients/jedis/BinaryJedis.java,src/main/java/redis/clients/jedis/BinaryJedis.java.BinaryJedis.georadiusStore.Long Parameter List,3.4.0,3.10.0,4.0.0-beta1,9
