Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
jsoup,1.18.1,org.jsoup.helper,DataUtil,detectCharset,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/helper/DataUtil.java,src/main/java/org/jsoup/helper/DataUtil.java.DataUtil.detectCharset.Complex Method,1.18.1,1.19.1,1.19.1,2
jsoup,1.11.1,org.jsoup.helper,DataUtil,parseInputStream,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/helper/DataUtil.java,src/main/java/org/jsoup/helper/DataUtil.java.DataUtil.parseInputStream.Complex Method,1.11.1,1.17.1,1.18.1,7
jsoup,1.18.1,org.jsoup.helper,UrlBuilder,appendToAscii,Complex Method,"pmd,checkstyle",src/main/java/org/jsoup/helper/UrlBuilder.java,src/main/java/org/jsoup/helper/UrlBuilder.java.UrlBuilder.appendToAscii.Complex Method,1.18.1,1.19.1,1.19.1,2
jsoup,1.18.1,org.jsoup.internal,ControllableInputStream,read,Complex Method,"designitejava,checkstyle",src/main/java/org/jsoup/internal/ControllableInputStream.java,src/main/java/org/jsoup/internal/ControllableInputStream.java.ControllableInputStream.read.Complex Method,1.18.1,1.19.1,1.19.1,2
jsoup,1.19.1,org.jsoup.internal,SimpleBufferedInput,fill,Complex Method,"designitejava,pmd",src/main/java/org/jsoup/internal/SimpleBufferedInput.java,src/main/java/org/jsoup/internal/SimpleBufferedInput.java.SimpleBufferedInput.fill.Complex Method,1.19.1,1.19.1,1.19.1,1
jsoup,1.8.2,org.jsoup.nodes,Document,ensureMetaCharsetElement,Complex Method,"designitejava,pmd",src/main/java/org/jsoup/nodes/Document.java,src/main/java/org/jsoup/nodes/Document.java.Document.ensureMetaCharsetElement.Complex Method,1.8.2,1.18.1,1.19.1,14
jsoup,0.1.1,org.jsoup.nodes,Element,,God Class,"pmd,checkstyle",src/main/java/org/jsoup/nodes/Element.java,src/main/java/org/jsoup/nodes/Element.java.Element..God Class,0.1.1,1.19.1,1.19.1,28
jsoup,1.10.1,org.jsoup.nodes,Element,hasClass,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/nodes/Element.java,src/main/java/org/jsoup/nodes/Element.java.Element.hasClass.Complex Method,1.10.1,1.19.1,1.19.1,10
jsoup,1.19.1,org.jsoup.nodes,Entities,appendEscaped,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/nodes/Entities.java,src/main/java/org/jsoup/nodes/Entities.java.Entities.appendEscaped.Complex Method,1.19.1,1.19.1,1.19.1,1
jsoup,1.19.1,org.jsoup.nodes,Entities,appendEscaped,Long Parameter List,"designitejava,checkstyle",src/main/java/org/jsoup/nodes/Entities.java,src/main/java/org/jsoup/nodes/Entities.java.Entities.appendEscaped.Long Parameter List,1.19.1,1.19.1,1.19.1,1
jsoup,1.19.1,org.jsoup.nodes,Entities,doEscape,Complex Method,"designitejava,pmd",src/main/java/org/jsoup/nodes/Entities.java,src/main/java/org/jsoup/nodes/Entities.java.Entities.doEscape.Complex Method,1.19.1,1.19.1,1.19.1,1
jsoup,1.19.1,org.jsoup.nodes,Entities,doEscape,Long Parameter List,"designitejava,checkstyle",src/main/java/org/jsoup/nodes/Entities.java,src/main/java/org/jsoup/nodes/Entities.java.Entities.doEscape.Long Parameter List,1.19.1,1.19.1,1.19.1,1
jsoup,1.8.1.a,org.jsoup.nodes,Entities,escape,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/nodes/Entities.java,src/main/java/org/jsoup/nodes/Entities.java.Entities.escape.Complex Method,1.8.1.a,1.18.1,1.19.1,15
jsoup,1.8.1.a,org.jsoup.nodes,Entities,escape,Long Parameter List,"designitejava,checkstyle",src/main/java/org/jsoup/nodes/Entities.java,src/main/java/org/jsoup/nodes/Entities.java.Entities.escape.Long Parameter List,1.8.1.a,1.18.1,1.19.1,15
jsoup,1.8.2,org.jsoup.nodes,FormElement,formData,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/nodes/FormElement.java,src/main/java/org/jsoup/nodes/FormElement.java.FormElement.formData.Complex Method,1.8.2,1.19.1,1.19.1,15
jsoup,1.17.1,org.jsoup.nodes,NodeIterator,findNextNode,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/nodes/NodeIterator.java,src/main/java/org/jsoup/nodes/NodeIterator.java.NodeIterator.findNextNode.Complex Method,1.17.1,1.19.1,1.19.1,3
jsoup,1.13.1,org.jsoup.parser,CharacterReader,bufferUp,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/parser/CharacterReader.java,src/main/java/org/jsoup/parser/CharacterReader.java.CharacterReader.bufferUp.Complex Method,1.13.1,1.18.1,1.19.1,6
jsoup,1.7.1,org.jsoup.parser,HtmlTreeBuilder,,God Class,"pmd,checkstyle",src/main/java/org/jsoup/parser/HtmlTreeBuilder.java,src/main/java/org/jsoup/parser/HtmlTreeBuilder.java.HtmlTreeBuilder..God Class,1.7.1,1.19.1,1.19.1,17
jsoup,1.19.1,org.jsoup.parser,HtmlTreeBuilder,inSpecificScope,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/parser/HtmlTreeBuilder.java,src/main/java/org/jsoup/parser/HtmlTreeBuilder.java.HtmlTreeBuilder.inSpecificScope.Complex Method,1.19.1,1.19.1,1.19.1,1
jsoup,1.7.1,org.jsoup.parser,HtmlTreeBuilder,reconstructFormattingElements,Complex Method,"designitejava,checkstyle",src/main/java/org/jsoup/parser/HtmlTreeBuilder.java,src/main/java/org/jsoup/parser/HtmlTreeBuilder.java.HtmlTreeBuilder.reconstructFormattingElements.Complex Method,1.7.1,1.19.1,1.19.1,17
jsoup,1.7.1,org.jsoup.parser,HtmlTreeBuilder,resetInsertionMode,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/parser/HtmlTreeBuilder.java,src/main/java/org/jsoup/parser/HtmlTreeBuilder.java.HtmlTreeBuilder.resetInsertionMode.Complex Method,1.7.1,1.19.1,1.19.1,17
jsoup,1.17.1,org.jsoup.parser,HtmlTreeBuilder,useCurrentOrForeignInsert,Complex Method,"designitejava,checkstyle",src/main/java/org/jsoup/parser/HtmlTreeBuilder.java,src/main/java/org/jsoup/parser/HtmlTreeBuilder.java.HtmlTreeBuilder.useCurrentOrForeignInsert.Complex Method,1.17.1,1.19.1,1.19.1,3
jsoup,0.1.1,org.jsoup.parser,Tag,canContain,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/parser/Tag.java,src/main/java/org/jsoup/parser/Tag.java.Tag.canContain.Complex Method,0.1.1,1.5.1,1.6.0,10
jsoup,0.1.1,org.jsoup.parser,Tag,equals,Complex Method,"designitejava,checkstyle",src/main/java/org/jsoup/parser/Tag.java,src/main/java/org/jsoup/parser/Tag.java.Tag.equals.Complex Method,0.1.1,1.19.1,1.19.1,28
jsoup,1.8.1.a,org.jsoup.parser,TokenQueue,chompBalanced,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/parser/TokenQueue.java,src/main/java/org/jsoup/parser/TokenQueue.java.TokenQueue.chompBalanced.Complex Method,1.8.1.a,1.19.1,1.19.1,16
jsoup,1.6.0,org.jsoup.parser,Tokeniser,consumeCharacterReference,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/parser/Tokeniser.java,src/main/java/org/jsoup/parser/Tokeniser.java.Tokeniser.consumeCharacterReference.Complex Method,1.6.0,1.19.1,1.19.1,18
jsoup,1.6.0,org.jsoup.parser,TreeBuilder,,God Class,"pmd,checkstyle",src/main/java/org/jsoup/parser/TreeBuilder.java,src/main/java/org/jsoup/parser/TreeBuilder.java.TreeBuilder..God Class,1.6.0,1.19.1,1.19.1,18
jsoup,1.6.0,org.jsoup.parser,TreeBuilder,reconstructFormattingElements,Complex Method,"designitejava,checkstyle",src/main/java/org/jsoup/parser/TreeBuilder.java,src/main/java/org/jsoup/parser/TreeBuilder.java.TreeBuilder.reconstructFormattingElements.Complex Method,1.6.0,1.6.0,1.7.1,1
jsoup,1.6.0,org.jsoup.parser,TreeBuilder,resetInsertionMode,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/parser/TreeBuilder.java,src/main/java/org/jsoup/parser/TreeBuilder.java.TreeBuilder.resetInsertionMode.Complex Method,1.6.0,1.6.0,1.7.1,1
jsoup,1.17.1,org.jsoup.parser,TreeBuilder,trackNodePosition,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/parser/TreeBuilder.java,src/main/java/org/jsoup/parser/TreeBuilder.java.TreeBuilder.trackNodePosition.Complex Method,1.17.1,1.19.1,1.19.1,3
jsoup,1.11.1,org.jsoup.select,NodeTraversor,filter,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/select/NodeTraversor.java,src/main/java/org/jsoup/select/NodeTraversor.java.NodeTraversor.filter.Complex Method,1.11.1,1.19.1,1.19.1,9
jsoup,1.3.1,org.jsoup.select,NodeTraversor,traverse,Feature Envy,"designitejava,checkstyle",src/main/java/org/jsoup/select/NodeTraversor.java,src/main/java/org/jsoup/select/NodeTraversor.java.NodeTraversor.traverse.Feature Envy,1.3.1,1.19.1,1.19.1,21
jsoup,1.7.1,org.jsoup.select,QueryParser,combinator,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/select/QueryParser.java,src/main/java/org/jsoup/select/QueryParser.java.QueryParser.combinator.Complex Method,1.7.1,1.19.1,1.19.1,17
jsoup,1.18.1,org.jsoup.select,QueryParser,consumeSubQuery,Complex Method,"designitejava,pmd",src/main/java/org/jsoup/select/QueryParser.java,src/main/java/org/jsoup/select/QueryParser.java.QueryParser.consumeSubQuery.Complex Method,1.18.1,1.19.1,1.19.1,2
jsoup,1.5.1,org.jsoup.select,QueryParser,consumeSubQuery,Feature Envy,"designitejava,checkstyle",src/main/java/org/jsoup/select/QueryParser.java,src/main/java/org/jsoup/select/QueryParser.java.QueryParser.consumeSubQuery.Feature Envy,1.5.1,1.19.1,1.19.1,19
jsoup,1.8.1.a,org.jsoup.select,QueryParser,cssNthChild,Complex Method,"designitejava,pmd",src/main/java/org/jsoup/select/QueryParser.java,src/main/java/org/jsoup/select/QueryParser.java.QueryParser.cssNthChild.Complex Method,1.8.1.a,1.19.1,1.19.1,16
jsoup,1.5.1,org.jsoup.select,QueryParser,findElements,Complex Method,"designitejava,pmd,checkstyle",src/main/java/org/jsoup/select/QueryParser.java,src/main/java/org/jsoup/select/QueryParser.java.QueryParser.findElements.Complex Method,1.5.1,1.16.1,1.17.1,16
jsoup,1.17.1,org.jsoup.select,QueryParser,parsePseudoSelector,Complex Method,"designitejava,checkstyle",src/main/java/org/jsoup/select/QueryParser.java,src/main/java/org/jsoup/select/QueryParser.java.QueryParser.parsePseudoSelector.Complex Method,1.17.1,1.19.1,1.19.1,3
jsoup,0.1.1,org.jsoup.select,Selector,byAttribute,Feature Envy,"designitejava,checkstyle",src/main/java/org/jsoup/select/Selector.java,src/main/java/org/jsoup/select/Selector.java.Selector.byAttribute.Feature Envy,0.1.1,1.4.1,1.5.1,9
jsoup,1.17.1,org.jsoup.integration,ProxyTest,canAuthenticateToProxy,Feature Envy,"designitejava,checkstyle",src/test/java/org/jsoup/integration/ProxyTest.java,src/test/java/org/jsoup/integration/ProxyTest.java.ProxyTest.canAuthenticateToProxy.Feature Envy,1.17.1,1.19.1,1.19.1,3
jsoup,1.7.1,org.jsoup.parser,HtmlParserTest,,God Class,"pmd,checkstyle",src/test/java/org/jsoup/parser/HtmlParserTest.java,src/test/java/org/jsoup/parser/HtmlParserTest.java.HtmlParserTest..God Class,1.7.1,1.19.1,1.19.1,17
