Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
pig,0.9.0-rc0,org.apache.pig.penny,ParsedPigScript,,God Class,"pmd,checkstyle",contrib/penny/java/src/main/java/org/apache/pig/penny/ParsedPigScript.java,contrib/penny/java/src/main/java/org/apache/pig/penny/ParsedPigScript.java.ParsedPigScript..God Class,0.9.0-rc0,0.10.1,0.11.0-rc0,10
pig,0.9.0-rc0,org.apache.pig.penny,ParsedPigScript,addAgentLogicalRelationalOperator,Long Parameter List,"designitejava,checkstyle",contrib/penny/java/src/main/java/org/apache/pig/penny/ParsedPigScript.java,contrib/penny/java/src/main/java/org/apache/pig/penny/ParsedPigScript.java.ParsedPigScript.addAgentLogicalRelationalOperator.Long Parameter List,0.9.0-rc0,0.10.1,0.11.0-rc0,10
pig,0.9.0-rc0,org.apache.pig.penny,ParsedPigScript,incomingCrossTaskKeyFields,Complex Method,"designitejava,pmd",contrib/penny/java/src/main/java/org/apache/pig/penny/ParsedPigScript.java,contrib/penny/java/src/main/java/org/apache/pig/penny/ParsedPigScript.java.ParsedPigScript.incomingCrossTaskKeyFields.Complex Method,0.9.0-rc0,0.10.1,0.11.0-rc0,10
pig,0.9.0-rc0,org.apache.pig.penny.apps.ci,Main,main,Complex Method,"designitejava,pmd,checkstyle",contrib/penny/java/src/main/java/org/apache/pig/penny/apps/ci/Main.java,contrib/penny/java/src/main/java/org/apache/pig/penny/apps/ci/Main.java.Main.main.Complex Method,0.9.0-rc0,0.10.1,0.11.0-rc0,10
pig,0.9.0-rc0,org.apache.pig.penny.impl.harnesses,MonitorAgentHarness,initialize,Complex Method,"designitejava,pmd",contrib/penny/java/src/main/java/org/apache/pig/penny/impl/harnesses/MonitorAgentHarness.java,contrib/penny/java/src/main/java/org/apache/pig/penny/impl/harnesses/MonitorAgentHarness.java.MonitorAgentHarness.initialize.Complex Method,0.9.0-rc0,0.10.1,0.11.0-rc0,10
pig,0.8.0,org.apache.pig.piggybank.evaluation,ExtremalTupleByNthField,extreme,Complex Method,"designitejava,pmd,checkstyle",contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/ExtremalTupleByNthField.java,contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/ExtremalTupleByNthField.java.ExtremalTupleByNthField.extreme.Complex Method,0.8.0,0.17.0,0.17.0,31
pig,0.12.0-rc0,org.apache.pig.piggybank.evaluation,Over,init,Complex Method,"designitejava,pmd,checkstyle",contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/Over.java,contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/Over.java.Over.init.Complex Method,0.12.0-rc0,0.17.0,0.17.0,14
pig,0.12.0-rc0,org.apache.pig.piggybank.evaluation,Stitch,exec,Complex Method,"designitejava,pmd,checkstyle",contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/Stitch.java,contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/Stitch.java.Stitch.exec.Complex Method,0.12.0-rc0,0.17.0,0.17.0,14
pig,0.12.0-rc0,org.apache.pig.piggybank.evaluation,Stitch,outputSchema,Complex Method,"designitejava,pmd",contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/Stitch.java,contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/Stitch.java.Stitch.outputSchema.Complex Method,0.12.0-rc0,0.17.0,0.17.0,14
pig,0.4.0-rc0,org.apache.pig.piggybank.evaluation.decode,BinCond,exec,Complex Method,"designitejava,checkstyle",contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/decode/BinCond.java,contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/decode/BinCond.java.BinCond.exec.Complex Method,0.4.0-rc0,0.17.0,0.17.0,37
pig,0.13.0-rc0,org.apache.pig.piggybank.evaluation.string,Stuff,exec,Complex Method,"designitejava,pmd,checkstyle",contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/Stuff.java,contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/Stuff.java.Stuff.exec.Complex Method,0.13.0-rc0,0.17.0,0.17.0,10
pig,0.3.0,org.apache.pig.piggybank.evaluation.util.apachelogparser,SearchTermExtractor,exec,Complex Method,"designitejava,pmd,checkstyle",contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/util/apachelogparser/SearchTermExtractor.java,contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/util/apachelogparser/SearchTermExtractor.java.SearchTermExtractor.exec.Complex Method,0.3.0,0.17.0,0.17.0,38
pig,0.15.0-rc0,org.apache.pig.piggybank.evaluation.xml,XPathAll,exec,Complex Method,"designitejava,pmd,checkstyle",contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/xml/XPathAll.java,contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/xml/XPathAll.java.XPathAll.exec.Complex Method,0.15.0-rc0,0.17.0,0.17.0,6
pig,0.9.0-rc0,org.apache.pig.piggybank.storage,AllLoader,getPartitionColumns,Complex Method,"designitejava,pmd,checkstyle",contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/AllLoader.java,contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/AllLoader.java.AllLoader.getPartitionColumns.Complex Method,0.9.0-rc0,0.17.0,0.17.0,28
pig,0.12.0-rc0,org.apache.pig.piggybank.storage,CSVExcelStorage,,God Class,"pmd,checkstyle",contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/CSVExcelStorage.java,contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/CSVExcelStorage.java.CSVExcelStorage..God Class,0.12.0-rc0,0.17.0,0.17.0,14
pig,0.9.0-rc0,org.apache.pig.piggybank.storage,CSVExcelStorage,getNext,Complex Method,"designitejava,pmd",contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/CSVExcelStorage.java,contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/CSVExcelStorage.java.CSVExcelStorage.getNext.Complex Method,0.9.0-rc0,0.17.0,0.17.0,28
pig,0.9.0-rc0,org.apache.pig.piggybank.storage,CSVExcelStorage,processOneInRecord,Complex Method,"designitejava,pmd,checkstyle",contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/CSVExcelStorage.java,contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/CSVExcelStorage.java.CSVExcelStorage.processOneInRecord.Complex Method,0.9.0-rc0,0.17.0,0.17.0,28
pig,0.9.0-rc0,org.apache.pig.piggybank.storage,CSVExcelStorage,putNext,Complex Method,"designitejava,pmd,checkstyle",contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/CSVExcelStorage.java,contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/CSVExcelStorage.java.CSVExcelStorage.putNext.Complex Method,0.9.0-rc0,0.17.0,0.17.0,28
