Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
stirling,0.42.0,stirling.software,LoadingWindow,checkAndRefreshExplorer,Complex Method,"designitejava,pmd,checkstyle",src/main/java/stirling/software/SPDF/UI/impl/LoadingWindow.java,src/main/java/stirling/software/SPDF/UI/impl/LoadingWindow.java.LoadingWindow.checkAndRefreshExplorer.Complex Method,0.42.0,0.44.0,0.44.0,3
stirling,0.11.0,stirling.software,CleanUrlInterceptor,preHandle,Complex Method,"designitejava,pmd",src/main/java/stirling/software/SPDF/config/CleanUrlInterceptor.java,src/main/java/stirling/software/SPDF/config/CleanUrlInterceptor.java.CleanUrlInterceptor.preHandle.Complex Method,0.11.0,0.44.0,0.44.0,34
stirling,0.21.0,stirling.software,ConfigInitializer,childOfTemplateEntry,Long Parameter List,"designitejava,checkstyle",src/main/java/stirling/software/SPDF/config/ConfigInitializer.java,src/main/java/stirling/software/SPDF/config/ConfigInitializer.java.ConfigInitializer.childOfTemplateEntry.Long Parameter List,0.21.0,0.23.0,0.24.0,3
stirling,0.24.0,stirling.software,ConfigInitializer,ensureConfigExists,Complex Method,"designitejava,pmd",src/main/java/stirling/software/SPDF/config/ConfigInitializer.java,src/main/java/stirling/software/SPDF/config/ConfigInitializer.java.ConfigInitializer.ensureConfigExists.Complex Method,0.24.0,0.25.0,0.26.0,2
stirling,0.14.0,stirling.software,ConfigInitializer,mergeYamlFiles,Complex Method,"designitejava,pmd",src/main/java/stirling/software/SPDF/config/ConfigInitializer.java,src/main/java/stirling/software/SPDF/config/ConfigInitializer.java.ConfigInitializer.mergeYamlFiles.Complex Method,0.14.0,0.23.0,0.24.0,10
stirling,0.37.0,stirling.software,EndpointConfiguration,processEnvironmentConfigs,Complex Method,"designitejava,pmd",src/main/java/stirling/software/SPDF/config/EndpointConfiguration.java,src/main/java/stirling/software/SPDF/config/EndpointConfiguration.java.EndpointConfiguration.processEnvironmentConfigs.Complex Method,0.37.0,0.42.0,0.43.0,6
stirling,0.24.0,stirling.software,FileFallbackTemplateResolver,computeTemplateResource,Long Parameter List,"designitejava,checkstyle",src/main/java/stirling/software/SPDF/config/FileFallbackTemplateResolver.java,src/main/java/stirling/software/SPDF/config/FileFallbackTemplateResolver.java.FileFallbackTemplateResolver.computeTemplateResource.Long Parameter List,0.24.0,0.44.0,0.44.0,21
stirling,0.43.0,stirling.software,YamlHelper,,God Class,"pmd,checkstyle",src/main/java/stirling/software/SPDF/config/YamlHelper.java,src/main/java/stirling/software/SPDF/config/YamlHelper.java.YamlHelper..God Class,0.43.0,0.44.0,0.44.0,2
stirling,0.43.0,stirling.software,YamlHelper,getValueByExactKeyPath,Complex Method,"designitejava,pmd,checkstyle",src/main/java/stirling/software/SPDF/config/YamlHelper.java,src/main/java/stirling/software/SPDF/config/YamlHelper.java.YamlHelper.getValueByExactKeyPath.Complex Method,0.43.0,0.44.0,0.44.0,2
stirling,0.43.0,stirling.software,YamlHelper,updateValue,Complex Method,"designitejava,pmd,checkstyle",src/main/java/stirling/software/SPDF/config/YamlHelper.java,src/main/java/stirling/software/SPDF/config/YamlHelper.java.YamlHelper.updateValue.Complex Method,0.43.0,0.44.0,0.44.0,2
