file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/interface/thrift/gen-java/org/apache/cassandra/thrift/TimedOutException.java,org.apache.cassandra.thrift.TimedOutException$TimedOutExceptionStandardSchemeFactory,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/cql3/statements/DropRoleStatement.java,org.apache.cassandra.cql3.statements.DropRoleStatement,class,9,9,0,9,13,3,0,17,0,0.125,1.0,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,3,25,2,0,1,0,0,3,0,3,0,3,1,0,0,0,40,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/security/EncryptionContext.java,org.apache.cassandra.security.EncryptionContext,class,7,9,2,7,14,1,0,6,7,0.80519485,0.21818182,0.5090909,11,0,11,0,0,0,11,0,0,0,7,3,3,4,0,0,7,0,1,54,8,0,0,1,0,4,1,9,1,8,2,0,0,0,62,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/tools/BulkLoader.java,org.apache.cassandra.tools.BulkLoader$ExternalClient,innerclass,6,6,0,6,2,2,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,14,1,0,0,0,0,0,0,3,0,3,0,0,0,0,23,8,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,org.apache.cassandra.thrift.Cassandra$set_cql_version_result$set_cql_version_resultTupleSchemeFactory,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/service/DatacenterSyncWriteResponseHandler.java,org.apache.cassandra.service.DatacenterSyncWriteResponseHandler,class,8,9,1,8,10,2,0,13,2,0.5,0.33333334,0.5,4,0,3,0,1,0,4,0,0,0,3,1,0,3,0,0,3,0,0,32,3,3,2,0,1,0,4,6,2,6,2,0,0,0,53,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,org.apache.cassandra.thrift.Cassandra$system_drop_column_family_args$_Fields,enum,1,1,0,1,10,1,0,5,5,0.6111111,0.0952381,0.14285715,6,3,5,0,0,1,7,0,0,0,3,1,0,3,0,0,3,0,2,35,6,1,1,0,0,3,2,4,1,4,1,0,0,0,59,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/db/filter/ClusteringIndexFilter.java,org.apache.cassandra.db.filter.ClusteringIndexFilter$Kind,enum,1,1,0,1,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/cql3/statements/DropTableStatement.java,org.apache.cassandra.cql3.statements.DropTableStatement,class,10,10,0,10,15,4,0,12,0,0.25,0.5,0.5,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,2,45,2,1,2,2,0,3,0,6,0,5,5,0,0,0,68,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/test/unit/org/apache/cassandra/utils/AbstractIteratorTest.java,org.apache.cassandra.utils.AbstractIteratorTest$SomeCheckedException,innerclass,0,0,0,0,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0
